cpu
Start!
Episode: 440000,  Step: 38071002, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 450000,  Step: 38782251, Episode_step: 24,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 460000,  Step: 39482407, Episode_step: 44,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.97, Reward_e: -1.03
Episode: 470000,  Step: 40183755, Episode_step: 33,  Reward_p1: 0.97, Reward_p2: 0.97, Reward_p3: 0.98, Reward_e: -1.03
Episode: 480000,  Step: 40882636, Episode_step: 26,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 490000,  Step: 41596191, Episode_step: 303,  Reward_p1: 0.71, Reward_p2: 0.7, Reward_p3: 0.75, Reward_e: -1.29
Episode: 500000,  Step: 42330242, Episode_step: 30,  Reward_p1: -0.03, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.03
Episode: 510000,  Step: 43079318, Episode_step: 75,  Reward_p1: 0.93, Reward_p2: 0.94, Reward_p3: 0.93, Reward_e: -1.06
Episode: 520000,  Step: 43820605, Episode_step: 303,  Reward_p1: -0.24, Reward_p2: -0.18, Reward_p3: -0.16, Reward_e: -0.24
Episode: 530000,  Step: 44526280, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 540000,  Step: 45253879, Episode_step: 45,  Reward_p1: -0.03, Reward_p2: -1.04, Reward_p3: -0.04, Reward_e: -0.04
Episode: 550000,  Step: 45989137, Episode_step: 32,  Reward_p1: 0.97, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.03
Episode: 560000,  Step: 46725419, Episode_step: 109,  Reward_p1: 0.89, Reward_p2: 0.89, Reward_p3: 0.89, Reward_e: -1.11
Episode: 570000,  Step: 47438714, Episode_step: 58,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.94, Reward_e: -1.05
Episode: 580000,  Step: 48160776, Episode_step: 41,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.97, Reward_e: -1.04
Episode: 590000,  Step: 48847550, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 600000,  Step: 49576719, Episode_step: 25,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 610000,  Step: 50332222, Episode_step: 40,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.03
Episode: 620000,  Step: 51036559, Episode_step: 218,  Reward_p1: -0.19, Reward_p2: -0.21, Reward_p3: -0.2, Reward_e: -1.19
Episode: 630000,  Step: 51797417, Episode_step: 87,  Reward_p1: 0.93, Reward_p2: 0.93, Reward_p3: 0.91, Reward_e: -1.08
Episode: 640000,  Step: 52535748, Episode_step: 138,  Reward_p1: 0.87, Reward_p2: 0.91, Reward_p3: 0.86, Reward_e: -1.13
Episode: 650000,  Step: 53298742, Episode_step: 37,  Reward_p1: 0.96, Reward_p2: 0.97, Reward_p3: 0.97, Reward_e: -1.03
Episode: 660000,  Step: 54056603, Episode_step: 197,  Reward_p1: 0.81, Reward_p2: 0.81, Reward_p3: 0.87, Reward_e: -1.19
Episode: 670000,  Step: 54772707, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.99, Reward_e: -1.0
Episode: 680000,  Step: 55522304, Episode_step: 42,  Reward_p1: -1.04, Reward_p2: -0.04, Reward_p3: -0.04, Reward_e: -0.04
Episode: 690000,  Step: 56273485, Episode_step: 35,  Reward_p1: -1.03, Reward_p2: -0.03, Reward_p3: -0.02, Reward_e: -0.03
Episode: 700000,  Step: 56992283, Episode_step: 40,  Reward_p1: 0.97, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.04
Episode: 710000,  Step: 57741890, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 720000,  Step: 58465906, Episode_step: 25,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 730000,  Step: 59213793, Episode_step: 234,  Reward_p1: 0.78, Reward_p2: 0.8, Reward_p3: 0.77, Reward_e: -1.23
Episode: 740000,  Step: 59940605, Episode_step: 24,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 750000,  Step: 60684338, Episode_step: 116,  Reward_p1: -0.11, Reward_p2: -0.08, Reward_p3: -0.11, Reward_e: -1.11
Episode: 760000,  Step: 61440425, Episode_step: 31,  Reward_p1: -0.03, Reward_p2: -0.02, Reward_p3: -0.03, Reward_e: -1.03
