option = share
required = 2.4
cpu
Start!
Episode: 490000,  Step: 21305562, Episode_step: 51,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 500000,  Step: 21853394, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 510000,  Step: 22384570, Episode_step: 91,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 520000,  Step: 22917860, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 530000,  Step: 23473434, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 540000,  Step: 24003126, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 550000,  Step: 24524959, Episode_step: 87,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 560000,  Step: 25077207, Episode_step: 59,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 570000,  Step: 25621425, Episode_step: 158,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 580000,  Step: 26176691, Episode_step: 49,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 590000,  Step: 26694970, Episode_step: 54,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 600000,  Step: 27200742, Episode_step: 92,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 610000,  Step: 27731510, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 620000,  Step: 28241879, Episode_step: 50,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 630000,  Step: 28774287, Episode_step: 107,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 640000,  Step: 29289467, Episode_step: 66,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 650000,  Step: 29793134, Episode_step: 79,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 660000,  Step: 30356876, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 670000,  Step: 30916526, Episode_step: 35,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 680000,  Step: 31450494, Episode_step: 80,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 690000,  Step: 31972730, Episode_step: 21,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 700000,  Step: 32520691, Episode_step: 199,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 710000,  Step: 33053188, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 720000,  Step: 33585598, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 730000,  Step: 34121338, Episode_step: 33,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 740000,  Step: 34646165, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 750000,  Step: 35171659, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 760000,  Step: 35689846, Episode_step: 106,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 770000,  Step: 36209105, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 780000,  Step: 36723227, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 790000,  Step: 37229584, Episode_step: 51,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 800000,  Step: 37744397, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 810000,  Step: 38254856, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 820000,  Step: 38771022, Episode_step: 57,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 830000,  Step: 39278152, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 840000,  Step: 39800050, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 850000,  Step: 40339029, Episode_step: 31,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 860000,  Step: 40871490, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 870000,  Step: 41371638, Episode_step: 129,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 880000,  Step: 41903522, Episode_step: 65,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 890000,  Step: 42434817, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 900000,  Step: 42953312, Episode_step: 43,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 910000,  Step: 43475695, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 920000,  Step: 43999499, Episode_step: 53,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 930000,  Step: 44508822, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 940000,  Step: 45017048, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 950000,  Step: 45533551, Episode_step: 8,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 960000,  Step: 46049272, Episode_step: 72,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 970000,  Step: 46559679, Episode_step: 83,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 980000,  Step: 47065792, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 990000,  Step: 47574914, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 1000000,  Step: 48083789, Episode_step: 46,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Finish! 179.8 [h]
