cpu
Start!
Episode: 440000,  Step: 4138645, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 450000,  Step: 4235278, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 460000,  Step: 4332672, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 470000,  Step: 4430121, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 1.0, Reward_e: -1.0
Episode: 480000,  Step: 4527236, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 490000,  Step: 4624659, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 500000,  Step: 4719035, Episode_step: 9,  Reward_p1: 1.0, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 510000,  Step: 4814839, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.0
Episode: 520000,  Step: 4910716, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 530000,  Step: 5005854, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.0
Episode: 540000,  Step: 5102091, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 550000,  Step: 5197356, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 560000,  Step: 5294849, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 570000,  Step: 5391007, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 580000,  Step: 5488190, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 590000,  Step: 5583537, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 600000,  Step: 5682496, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -1.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 610000,  Step: 5778599, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 620000,  Step: 5875129, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
