cpu
Start!
Episode: 10000,  Step: 129051, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 20000,  Step: 324226, Episode_step: 21,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 30000,  Step: 531517, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 40000,  Step: 733001, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 50000,  Step: 935516, Episode_step: 43,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 60000,  Step: 1167266, Episode_step: 53,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 70000,  Step: 1437097, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 80000,  Step: 1772445, Episode_step: 69,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 90000,  Step: 2148889, Episode_step: 131,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 100000,  Step: 2750831, Episode_step: 22,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 110000,  Step: 3461715, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 120000,  Step: 4374266, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 130000,  Step: 5302263, Episode_step: 24,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 140000,  Step: 6225148, Episode_step: 136,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 150000,  Step: 7293239, Episode_step: 53,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 160000,  Step: 8631545, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 170000,  Step: 10103601, Episode_step: 120,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
