cpu
Start!
Episode: 440000,  Step: 3251298, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.01, Reward_e: -1.01
Episode: 450000,  Step: 3321064, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 460000,  Step: 3391789, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 470000,  Step: 3461762, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -1.01, Reward_e: -1.01
Episode: 480000,  Step: 3531969, Episode_step: 4,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 490000,  Step: 3602443, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 500000,  Step: 3671508, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 510000,  Step: 3741223, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 520000,  Step: 3809975, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 530000,  Step: 3878275, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 540000,  Step: 3947261, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 550000,  Step: 4016329, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 560000,  Step: 4085644, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: 0.98, Reward_e: -1.02
Episode: 570000,  Step: 4154621, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 580000,  Step: 4224378, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 590000,  Step: 4293272, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 600000,  Step: 4362188, Episode_step: 4,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 610000,  Step: 4431031, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 620000,  Step: 4500610, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 630000,  Step: 4570669, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 640000,  Step: 4639915, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.01, Reward_e: -1.0
Episode: 650000,  Step: 4709823, Episode_step: 16,  Reward_p1: -1.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -0.02
Episode: 660000,  Step: 4779212, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 670000,  Step: 4848592, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 680000,  Step: 4918190, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 690000,  Step: 4987547, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: 1.0, Reward_p3: -0.01, Reward_e: -1.0
Episode: 700000,  Step: 5056345, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 710000,  Step: 5125894, Episode_step: 7,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.0
Episode: 720000,  Step: 5195213, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 730000,  Step: 5263963, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 740000,  Step: 5332971, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 750000,  Step: 5401679, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 760000,  Step: 5470784, Episode_step: 8,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 770000,  Step: 5540562, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 780000,  Step: 5609571, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 790000,  Step: 5678145, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 800000,  Step: 5747191, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 810000,  Step: 5815670, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 820000,  Step: 5883904, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
