cpu
Start!
Episode: 10000,  Step: 198759, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 20000,  Step: 442383, Episode_step: 27,  Reward_p1: -0.03, Reward_p2: 0.98, Reward_p3: -0.03, Reward_e: -1.02
Episode: 30000,  Step: 703574, Episode_step: 20,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: 0.98, Reward_e: -1.02
Episode: 40000,  Step: 1036825, Episode_step: 160,  Reward_p1: -0.16, Reward_p2: -0.14, Reward_p3: -0.16, Reward_e: -1.16
Episode: 50000,  Step: 1464843, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 60000,  Step: 1992824, Episode_step: 68,  Reward_p1: 0.93, Reward_p2: -0.06, Reward_p3: -0.07, Reward_e: -1.06
Episode: 70000,  Step: 2832554, Episode_step: 38,  Reward_p1: -0.04, Reward_p2: -1.03, Reward_p3: -0.03, Reward_e: -0.04
Episode: 80000,  Step: 3924118, Episode_step: 195,  Reward_p1: -0.18, Reward_p2: -1.18, Reward_p3: -0.19, Reward_e: -0.19
Episode: 90000,  Step: 5111628, Episode_step: 23,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 100000,  Step: 6445471, Episode_step: 56,  Reward_p1: -0.05, Reward_p2: -0.05, Reward_p3: -0.05, Reward_e: -1.04
Episode: 110000,  Step: 7788612, Episode_step: 46,  Reward_p1: -1.04, Reward_p2: -0.01, Reward_p3: -0.05, Reward_e: -0.04
Episode: 120000,  Step: 9108491, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 130000,  Step: 10336982, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
