cpu
Start!
Episode: 10000,  Step: 111131, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 20000,  Step: 284219, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 30000,  Step: 455624, Episode_step: 34,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 40000,  Step: 610039, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 50000,  Step: 810906, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 60000,  Step: 1034582, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 70000,  Step: 1299528, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 80000,  Step: 1598555, Episode_step: 44,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 90000,  Step: 1844569, Episode_step: 28,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: -1
Episode: 100000,  Step: 2172263, Episode_step: 22,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 110000,  Step: 2663031, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 120000,  Step: 3349307, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 130000,  Step: 3991695, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 140000,  Step: 4685222, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 150000,  Step: 5425543, Episode_step: 13,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 160000,  Step: 6274573, Episode_step: 30,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 170000,  Step: 7197940, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 180000,  Step: 7988363, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 190000,  Step: 8794229, Episode_step: 111,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: 0
Episode: 200000,  Step: 9685689, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 210000,  Step: 10605075, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 220000,  Step: 11500612, Episode_step: 83,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 230000,  Step: 12391390, Episode_step: 204,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 240000,  Step: 13442892, Episode_step: 164,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 250000,  Step: 14596888, Episode_step: 92,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 260000,  Step: 15740545, Episode_step: 87,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 270000,  Step: 16802677, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 280000,  Step: 17952090, Episode_step: 62,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 290000,  Step: 19103738, Episode_step: 163,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 300000,  Step: 20134559, Episode_step: 133,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 310000,  Step: 21117238, Episode_step: 66,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 320000,  Step: 22151024, Episode_step: 39,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 330000,  Step: 23314880, Episode_step: 221,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 340000,  Step: 24400352, Episode_step: 73,  Reward_p1: -1, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 350000,  Step: 25563866, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 360000,  Step: 26612584, Episode_step: 105,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 370000,  Step: 27663411, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 380000,  Step: 28771792, Episode_step: 83,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 390000,  Step: 29870241, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 400000,  Step: 31007591, Episode_step: 88,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 410000,  Step: 32073287, Episode_step: 80,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 420000,  Step: 33074657, Episode_step: 258,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: 0
Episode: 430000,  Step: 34015056, Episode_step: 39,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 440000,  Step: 34981982, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 450000,  Step: 35974389, Episode_step: 126,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 460000,  Step: 36905286, Episode_step: 141,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 470000,  Step: 37824371, Episode_step: 105,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 480000,  Step: 38753236, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 490000,  Step: 39619415, Episode_step: 90,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 500000,  Step: 40492342, Episode_step: 164,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 510000,  Step: 41286795, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 520000,  Step: 42121404, Episode_step: 75,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 530000,  Step: 42949115, Episode_step: 155,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 540000,  Step: 43782316, Episode_step: 59,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 550000,  Step: 44564062, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 560000,  Step: 45360210, Episode_step: 76,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 570000,  Step: 46086236, Episode_step: 25,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 580000,  Step: 46890107, Episode_step: 82,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 590000,  Step: 47658518, Episode_step: 42,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 600000,  Step: 48461482, Episode_step: 69,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 610000,  Step: 49218164, Episode_step: 67,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 620000,  Step: 50035458, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 630000,  Step: 50879569, Episode_step: 62,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 640000,  Step: 51697661, Episode_step: 28,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 650000,  Step: 52491268, Episode_step: 38,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 660000,  Step: 53287056, Episode_step: 28,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 670000,  Step: 54071586, Episode_step: 142,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 680000,  Step: 54814770, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 690000,  Step: 55601858, Episode_step: 192,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 700000,  Step: 56374848, Episode_step: 39,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 710000,  Step: 57112384, Episode_step: 142,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 720000,  Step: 57840160, Episode_step: 110,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 730000,  Step: 58586679, Episode_step: 237,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 740000,  Step: 59279461, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 750000,  Step: 59984540, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 760000,  Step: 60736519, Episode_step: 36,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 770000,  Step: 61444688, Episode_step: 145,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 780000,  Step: 62123316, Episode_step: 55,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 790000,  Step: 62891779, Episode_step: 46,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 800000,  Step: 63619442, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 810000,  Step: 64322357, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 820000,  Step: 65032026, Episode_step: 111,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 830000,  Step: 65746342, Episode_step: 55,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 840000,  Step: 66407004, Episode_step: 141,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 850000,  Step: 67101402, Episode_step: 55,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 860000,  Step: 67764479, Episode_step: 28,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 870000,  Step: 68483835, Episode_step: 208,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 880000,  Step: 69234890, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 890000,  Step: 69987534, Episode_step: 28,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
