cpu
Start!
Episode: 10000,  Step: 100845, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 20000,  Step: 223675, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 30000,  Step: 334902, Episode_step: 3,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 40000,  Step: 447683, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 50000,  Step: 558996, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 60000,  Step: 665506, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 70000,  Step: 766660, Episode_step: 18,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 80000,  Step: 871913, Episode_step: 17,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 90000,  Step: 970587, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 100000,  Step: 1071781, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 110000,  Step: 1170479, Episode_step: 14,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: -1
Episode: 120000,  Step: 1274208, Episode_step: 36,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 130000,  Step: 1385369, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_p3: -1, Reward_e: -1
Episode: 140000,  Step: 1492556, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 150000,  Step: 1602736, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 160000,  Step: 1706557, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 170000,  Step: 1811708, Episode_step: 29,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: 0
Episode: 180000,  Step: 1919592, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 190000,  Step: 2025445, Episode_step: 21,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 200000,  Step: 2128986, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_p3: -1, Reward_e: 0
Episode: 210000,  Step: 2233985, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 220000,  Step: 2338374, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 230000,  Step: 2443823, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 240000,  Step: 2550493, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 250000,  Step: 2661432, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 260000,  Step: 2770734, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 270000,  Step: 2886773, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 280000,  Step: 3001152, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 290000,  Step: 3117929, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 300000,  Step: 3233870, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 310000,  Step: 3348088, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 320000,  Step: 3458940, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 330000,  Step: 3575599, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 340000,  Step: 3686334, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 350000,  Step: 3798752, Episode_step: 8,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 360000,  Step: 3913626, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 370000,  Step: 4030358, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 380000,  Step: 4144921, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 390000,  Step: 4260314, Episode_step: 21,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 400000,  Step: 4372657, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 410000,  Step: 4486572, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 420000,  Step: 4607050, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 430000,  Step: 4719763, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 440000,  Step: 4834444, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 450000,  Step: 4946684, Episode_step: 14,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: 0
Episode: 460000,  Step: 5055787, Episode_step: 42,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 470000,  Step: 5169287, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 480000,  Step: 5279542, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 490000,  Step: 5390750, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 500000,  Step: 5501339, Episode_step: 17,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 510000,  Step: 5617959, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 520000,  Step: 5733394, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 530000,  Step: 5849803, Episode_step: 3,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 540000,  Step: 5963521, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
