cpu
Start!
Episode: 440000,  Step: 5365687, Episode_step: 17,  Reward_p1: -1.01, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 450000,  Step: 5495920, Episode_step: 19,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 460000,  Step: 5627183, Episode_step: 25,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 470000,  Step: 5758371, Episode_step: 24,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 480000,  Step: 5885269, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 490000,  Step: 6015767, Episode_step: 8,  Reward_p1: 1.0, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 500000,  Step: 6148040, Episode_step: 18,  Reward_p1: 0.99, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 510000,  Step: 6278898, Episode_step: 13,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 520000,  Step: 6413662, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 530000,  Step: 6548336, Episode_step: 17,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 540000,  Step: 6682311, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 550000,  Step: 6817840, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 560000,  Step: 6953788, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 570000,  Step: 7086383, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 580000,  Step: 7219362, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 590000,  Step: 7356853, Episode_step: 19,  Reward_p1: 0.99, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 600000,  Step: 7495370, Episode_step: 42,  Reward_p1: -0.04, Reward_p2: -0.02, Reward_p3: -0.04, Reward_e: -1.04
Episode: 610000,  Step: 7637377, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 620000,  Step: 7774374, Episode_step: 6,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 630000,  Step: 7907177, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 640000,  Step: 8039162, Episode_step: 41,  Reward_p1: 0.96, Reward_p2: 0.97, Reward_p3: 0.96, Reward_e: -1.04
Episode: 650000,  Step: 8175896, Episode_step: 21,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 660000,  Step: 8313914, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.02
Episode: 670000,  Step: 8449093, Episode_step: 19,  Reward_p1: 0.98, Reward_p2: 0.99, Reward_p3: 0.98, Reward_e: -1.01
Episode: 680000,  Step: 8587913, Episode_step: 30,  Reward_p1: 0.97, Reward_p2: 0.98, Reward_p3: 0.97, Reward_e: -1.03
Episode: 690000,  Step: 8729631, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 700000,  Step: 8868622, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 710000,  Step: 9005887, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 720000,  Step: 9141635, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 730000,  Step: 9275424, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 740000,  Step: 9407679, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 750000,  Step: 9539799, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 1, Reward_p3: 0.99, Reward_e: -1.01
Episode: 760000,  Step: 9673015, Episode_step: 51,  Reward_p1: 0.95, Reward_p2: 0.96, Reward_p3: 0.95, Reward_e: -1.05
Episode: 770000,  Step: 9808398, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: 1, Reward_p3: 0.99, Reward_e: -1.01
Episode: 780000,  Step: 9942318, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 790000,  Step: 10078863, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
