cpu
Start!
Episode: 10000,  Step: 203476, Episode_step: 28,  Reward_p1: -0.03, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.03
Episode: 20000,  Step: 368112, Episode_step: 21,  Reward_p1: -1.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -0.02
Episode: 30000,  Step: 575057, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 40000,  Step: 793381, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 50000,  Step: 1003556, Episode_step: 18,  Reward_p1: 0.99, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 60000,  Step: 1202643, Episode_step: 42,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.04
Episode: 70000,  Step: 1434825, Episode_step: 24,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 80000,  Step: 1704999, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.01
Episode: 90000,  Step: 1993150, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 100000,  Step: 2285753, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 110000,  Step: 2576454, Episode_step: 55,  Reward_p1: 0.95, Reward_p2: 0.95, Reward_p3: 0.95, Reward_e: -1.05
Episode: 120000,  Step: 2894790, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 130000,  Step: 3208128, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 140000,  Step: 3525693, Episode_step: 38,  Reward_p1: 0.96, Reward_p2: 0.96, Reward_p3: 0.96, Reward_e: -1.03
Episode: 150000,  Step: 3875888, Episode_step: 17,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -1.01, Reward_e: -0.02
Episode: 160000,  Step: 4239840, Episode_step: 25,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 170000,  Step: 4601710, Episode_step: 20,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 180000,  Step: 4959564, Episode_step: 76,  Reward_p1: 0.93, Reward_p2: 0.93, Reward_p3: 0.93, Reward_e: -1.07
Episode: 190000,  Step: 5343305, Episode_step: 75,  Reward_p1: 0.93, Reward_p2: 0.93, Reward_p3: 0.93, Reward_e: -1.07
Episode: 200000,  Step: 5753836, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 210000,  Step: 6193590, Episode_step: 53,  Reward_p1: -0.05, Reward_p2: -0.03, Reward_p3: -0.05, Reward_e: -1.05
Episode: 220000,  Step: 6644484, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: 0.98, Reward_e: -1.02
Episode: 230000,  Step: 7087092, Episode_step: 65,  Reward_p1: 0.94, Reward_p2: 0.94, Reward_p3: 0.94, Reward_e: -1.06
