cpu
Start!
Episode: 10000,  Step: 131207, Episode_step: 23,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 20000,  Step: 295418, Episode_step: 18,  Reward_p1: -1, Reward_p2: 0, Reward_p3: 0, Reward_e: 0
Episode: 30000,  Step: 436978, Episode_step: 19,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 40000,  Step: 576256, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 50000,  Step: 720431, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 60000,  Step: 875201, Episode_step: 16,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 70000,  Step: 1039125, Episode_step: 13,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 80000,  Step: 1205463, Episode_step: 18,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 90000,  Step: 1371700, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 100000,  Step: 1540738, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 110000,  Step: 1720810, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 120000,  Step: 1900195, Episode_step: 24,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 130000,  Step: 2091537, Episode_step: 18,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 140000,  Step: 2296400, Episode_step: 23,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 150000,  Step: 2498228, Episode_step: 41,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 160000,  Step: 2706504, Episode_step: 77,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 170000,  Step: 2928544, Episode_step: 4,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 180000,  Step: 3156750, Episode_step: 28,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 190000,  Step: 3405728, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 200000,  Step: 3646350, Episode_step: 98,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 210000,  Step: 3909601, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 220000,  Step: 4173870, Episode_step: 23,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 230000,  Step: 4460138, Episode_step: 17,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 240000,  Step: 4748932, Episode_step: 19,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 250000,  Step: 5041128, Episode_step: 27,  Reward_p1: 0, Reward_p2: 0, Reward_p3: -1, Reward_e: 0
Episode: 260000,  Step: 5328354, Episode_step: 9,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 270000,  Step: 5632727, Episode_step: 127,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 280000,  Step: 5948436, Episode_step: 25,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 290000,  Step: 6215525, Episode_step: 179,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 300000,  Step: 6489173, Episode_step: 22,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 310000,  Step: 6766811, Episode_step: 4,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
