cpu
Start!
Episode: 10000,  Step: 85335, Episode_step: 31,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 20000,  Step: 154996, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 30000,  Step: 219102, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 40000,  Step: 283823, Episode_step: 6,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 50000,  Step: 351944, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 60000,  Step: 417692, Episode_step: 13,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 70000,  Step: 485621, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 80000,  Step: 550590, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 90000,  Step: 619849, Episode_step: 3,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 100000,  Step: 688531, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 110000,  Step: 755794, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 120000,  Step: 823325, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 130000,  Step: 892770, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 140000,  Step: 961423, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 150000,  Step: 1032760, Episode_step: 14,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 160000,  Step: 1102865, Episode_step: 11,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 170000,  Step: 1173629, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 180000,  Step: 1245653, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 190000,  Step: 1318375, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 200000,  Step: 1391493, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_p3: -1, Reward_e: 0
Episode: 210000,  Step: 1465944, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 220000,  Step: 1539200, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_p3: -1, Reward_e: -1
Episode: 230000,  Step: 1612595, Episode_step: 2,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 240000,  Step: 1685216, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 250000,  Step: 1758339, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 260000,  Step: 1830982, Episode_step: 11,  Reward_p1: 0, Reward_p2: -1, Reward_p3: 0, Reward_e: -1
Episode: 270000,  Step: 1905345, Episode_step: 7,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 280000,  Step: 1977948, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 290000,  Step: 2048591, Episode_step: 7,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 300000,  Step: 2119939, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 310000,  Step: 2190979, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 320000,  Step: 2263259, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 330000,  Step: 2334929, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 340000,  Step: 2408174, Episode_step: 16,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 350000,  Step: 2479584, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 360000,  Step: 2552060, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 370000,  Step: 2623497, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 380000,  Step: 2694473, Episode_step: 6,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 390000,  Step: 2766213, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 400000,  Step: 2837906, Episode_step: 5,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 410000,  Step: 2907206, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 420000,  Step: 2977449, Episode_step: 9,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 430000,  Step: 3047441, Episode_step: 6,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 440000,  Step: 3117386, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 450000,  Step: 3186943, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 460000,  Step: 3256324, Episode_step: 7,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 470000,  Step: 3324935, Episode_step: 9,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 480000,  Step: 3393307, Episode_step: 2,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 490000,  Step: 3462450, Episode_step: 9,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 500000,  Step: 3531871, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 510000,  Step: 3600931, Episode_step: 3,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 520000,  Step: 3671024, Episode_step: 17,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 530000,  Step: 3739515, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 540000,  Step: 3806724, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 550000,  Step: 3874965, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 560000,  Step: 3944341, Episode_step: 11,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 570000,  Step: 4012439, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 580000,  Step: 4080137, Episode_step: 4,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 590000,  Step: 4148294, Episode_step: 9,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 600000,  Step: 4216766, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 610000,  Step: 4284313, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 620000,  Step: 4351225, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 630000,  Step: 4418883, Episode_step: 7,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 640000,  Step: 4485745, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 650000,  Step: 4553285, Episode_step: 5,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 660000,  Step: 4621100, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 670000,  Step: 4688227, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 680000,  Step: 4754259, Episode_step: 13,  Reward_p1: -1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 690000,  Step: 4820982, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 700000,  Step: 4885792, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 710000,  Step: 4951801, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 720000,  Step: 5017168, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 730000,  Step: 5083729, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 740000,  Step: 5150328, Episode_step: 3,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 750000,  Step: 5216463, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 760000,  Step: 5282196, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 770000,  Step: 5348109, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 780000,  Step: 5413929, Episode_step: 2,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 790000,  Step: 5478991, Episode_step: 3,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 800000,  Step: 5544152, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 810000,  Step: 5610751, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 820000,  Step: 5676741, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 830000,  Step: 5741361, Episode_step: 9,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 840000,  Step: 5807053, Episode_step: 6,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 850000,  Step: 5871965, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 860000,  Step: 5937180, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 870000,  Step: 6003335, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 880000,  Step: 6069556, Episode_step: 5,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 890000,  Step: 6134826, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 900000,  Step: 6199722, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 910000,  Step: 6264943, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 920000,  Step: 6329299, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 930000,  Step: 6393287, Episode_step: 8,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 940000,  Step: 6456355, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 950000,  Step: 6520644, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 960000,  Step: 6585234, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Episode: 970000,  Step: 6649319, Episode_step: 4,  Reward_p1: 0, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 980000,  Step: 6712498, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 1, Reward_e: -1
Episode: 990000,  Step: 6776698, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_p3: 0, Reward_e: -1
Episode: 1000000,  Step: 6840258, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_p3: 0, Reward_e: -1
Finish! 27.91 [h]
