cpu
Start!
Episode: 10000,  Step: 111660, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.01, Reward_e: -1.01
Episode: 20000,  Step: 223986, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 30000,  Step: 330175, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 40000,  Step: 436338, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 50000,  Step: 546092, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 60000,  Step: 660071, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 70000,  Step: 778064, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 80000,  Step: 902600, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 90000,  Step: 1037343, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 100000,  Step: 1173358, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 110000,  Step: 1317661, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 120000,  Step: 1469314, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.99, Reward_e: -1.01
Episode: 130000,  Step: 1620555, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 140000,  Step: 1776355, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 150000,  Step: 1933364, Episode_step: 6,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 1.0, Reward_e: -1.0
Episode: 160000,  Step: 2088192, Episode_step: 7,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.0
Episode: 170000,  Step: 2239218, Episode_step: 24,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 180000,  Step: 2389478, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 190000,  Step: 2541623, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 200000,  Step: 2689360, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: 1, Reward_p3: -0.0, Reward_e: -1
Episode: 210000,  Step: 2838563, Episode_step: 22,  Reward_p1: -0.02, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 220000,  Step: 2984884, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 230000,  Step: 3132494, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.02
Episode: 240000,  Step: 3279143, Episode_step: 8,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 250000,  Step: 3433268, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 260000,  Step: 3587688, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 270000,  Step: 3742384, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 280000,  Step: 3894837, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 290000,  Step: 4048248, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 300000,  Step: 4205344, Episode_step: 35,  Reward_p1: -0.03, Reward_p2: -0.03, Reward_p3: 0.97, Reward_e: -1.03
Episode: 310000,  Step: 4359977, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 320000,  Step: 4511273, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: 1, Reward_p3: -0.0, Reward_e: -1
Episode: 330000,  Step: 4665972, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1
Episode: 340000,  Step: 4819937, Episode_step: 23,  Reward_p1: -0.02, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 350000,  Step: 4970299, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: 1, Reward_p3: -0.0, Reward_e: -1
Episode: 360000,  Step: 5118575, Episode_step: 17,  Reward_p1: -0.01, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.01
Episode: 370000,  Step: 5270795, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 380000,  Step: 5422665, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 390000,  Step: 5573815, Episode_step: 40,  Reward_p1: -0.04, Reward_p2: -0.04, Reward_p3: -0.04, Reward_e: -1.04
Episode: 400000,  Step: 5722113, Episode_step: 10,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 410000,  Step: 5866229, Episode_step: 21,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 420000,  Step: 6013750, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 430000,  Step: 6159391, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 440000,  Step: 6304410, Episode_step: 7,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.0
