cpu
Start!
Episode: 440000,  Step: 4148488, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 450000,  Step: 4242241, Episode_step: 4,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 460000,  Step: 4334443, Episode_step: 17,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.01
Episode: 470000,  Step: 4426565, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 480000,  Step: 4519367, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 490000,  Step: 4611661, Episode_step: 3,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 500000,  Step: 4704535, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 510000,  Step: 4796933, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 520000,  Step: 4887780, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 530000,  Step: 4978576, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 540000,  Step: 5069422, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.0, Reward_p3: -0.01, Reward_e: -1.01
Episode: 550000,  Step: 5160545, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 560000,  Step: 5252244, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 570000,  Step: 5343363, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
