cpu
Start!
Episode: 10000,  Step: 146389, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 20000,  Step: 301815, Episode_step: 63,  Reward_p1: -0.06, Reward_p2: -0.06, Reward_p3: -0.06, Reward_e: -1.06
Episode: 30000,  Step: 455127, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: 0.99, Reward_p3: -0.02, Reward_e: -1.01
Episode: 40000,  Step: 610024, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 50000,  Step: 778190, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 60000,  Step: 960502, Episode_step: 37,  Reward_p1: 0.97, Reward_p2: -0.04, Reward_p3: -0.03, Reward_e: -1.03
Episode: 70000,  Step: 1159314, Episode_step: 20,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 80000,  Step: 1385831, Episode_step: 79,  Reward_p1: 0.93, Reward_p2: -0.08, Reward_p3: -0.08, Reward_e: -1.07
Episode: 90000,  Step: 1636493, Episode_step: 19,  Reward_p1: -1.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -0.02
Episode: 100000,  Step: 1909343, Episode_step: 40,  Reward_p1: -0.04, Reward_p2: 0.96, Reward_p3: -0.03, Reward_e: -1.04
Episode: 110000,  Step: 2224987, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 120000,  Step: 2556779, Episode_step: 111,  Reward_p1: 0.89, Reward_p2: -0.1, Reward_p3: -0.11, Reward_e: -1.11
Episode: 130000,  Step: 2922779, Episode_step: 16,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 140000,  Step: 3271477, Episode_step: 127,  Reward_p1: -0.11, Reward_p2: -0.13, Reward_p3: -0.12, Reward_e: -1.11
Episode: 150000,  Step: 3608985, Episode_step: 72,  Reward_p1: -0.07, Reward_p2: -0.07, Reward_p3: -0.07, Reward_e: -1.07
Episode: 160000,  Step: 3956094, Episode_step: 109,  Reward_p1: -0.11, Reward_p2: -0.11, Reward_p3: 0.89, Reward_e: -1.1
Episode: 170000,  Step: 4300960, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 180000,  Step: 4628067, Episode_step: 27,  Reward_p1: -0.03, Reward_p2: 0.97, Reward_p3: -0.03, Reward_e: -1.02
Episode: 190000,  Step: 4949327, Episode_step: 48,  Reward_p1: -0.05, Reward_p2: -0.05, Reward_p3: 0.96, Reward_e: -1.05
Episode: 200000,  Step: 5284496, Episode_step: 22,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 210000,  Step: 5636746, Episode_step: 16,  Reward_p1: -0.01, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 220000,  Step: 5960760, Episode_step: 62,  Reward_p1: -0.06, Reward_p2: -0.06, Reward_p3: 0.94, Reward_e: -1.06
Episode: 230000,  Step: 6297768, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 240000,  Step: 6645869, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 250000,  Step: 6982661, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 260000,  Step: 7313564, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 270000,  Step: 7643302, Episode_step: 53,  Reward_p1: -0.05, Reward_p2: -0.05, Reward_p3: -0.05, Reward_e: -1.05
Episode: 280000,  Step: 7971140, Episode_step: 23,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 290000,  Step: 8307344, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 300000,  Step: 8612276, Episode_step: 54,  Reward_p1: -0.05, Reward_p2: -0.05, Reward_p3: 0.95, Reward_e: -1.05
Episode: 310000,  Step: 8948470, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.99, Reward_e: -1.01
Episode: 320000,  Step: 9263500, Episode_step: 20,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 330000,  Step: 9583935, Episode_step: 70,  Reward_p1: -0.07, Reward_p2: -0.07, Reward_p3: 0.94, Reward_e: -1.07
Episode: 340000,  Step: 9921004, Episode_step: 61,  Reward_p1: -0.06, Reward_p2: -0.06, Reward_p3: 0.94, Reward_e: -1.06
Episode: 350000,  Step: 10254480, Episode_step: 61,  Reward_p1: -0.06, Reward_p2: -0.06, Reward_p3: 0.94, Reward_e: -1.06
Episode: 360000,  Step: 10603965, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.99, Reward_e: -1.01
Episode: 370000,  Step: 10963279, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 380000,  Step: 11289387, Episode_step: 24,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 390000,  Step: 11632933, Episode_step: 37,  Reward_p1: -0.04, Reward_p2: -0.04, Reward_p3: 0.97, Reward_e: -1.03
Episode: 400000,  Step: 11977494, Episode_step: 16,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.01
Episode: 410000,  Step: 12315253, Episode_step: 147,  Reward_p1: -0.14, Reward_p2: -0.15, Reward_p3: -0.15, Reward_e: -1.14
Episode: 420000,  Step: 12652164, Episode_step: 100,  Reward_p1: -0.1, Reward_p2: -0.1, Reward_p3: -0.09, Reward_e: -1.1
Episode: 430000,  Step: 13011588, Episode_step: 47,  Reward_p1: -0.05, Reward_p2: -0.05, Reward_p3: 0.96, Reward_e: -1.04
Episode: 440000,  Step: 13348936, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 450000,  Step: 13691678, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 460000,  Step: 14047116, Episode_step: 25,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 470000,  Step: 14386807, Episode_step: 16,  Reward_p1: -0.01, Reward_p2: -0.02, Reward_p3: 0.99, Reward_e: -1.01
Episode: 480000,  Step: 14721912, Episode_step: 28,  Reward_p1: -0.03, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.03
Episode: 490000,  Step: 15044557, Episode_step: 36,  Reward_p1: 0.97, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.03
Episode: 500000,  Step: 15363314, Episode_step: 25,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 510000,  Step: 15700293, Episode_step: 117,  Reward_p1: 0.89, Reward_p2: -0.11, Reward_p3: -0.12, Reward_e: -1.11
Episode: 520000,  Step: 16020082, Episode_step: 20,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 530000,  Step: 16338706, Episode_step: 75,  Reward_p1: -0.07, Reward_p2: 0.93, Reward_p3: -0.07, Reward_e: -1.07
Episode: 540000,  Step: 16665449, Episode_step: 24,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 550000,  Step: 16993152, Episode_step: 18,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.01
Episode: 560000,  Step: 17316958, Episode_step: 43,  Reward_p1: 0.96, Reward_p2: -0.04, Reward_p3: -0.04, Reward_e: -1.04
Episode: 570000,  Step: 17642512, Episode_step: 25,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 580000,  Step: 17972931, Episode_step: 22,  Reward_p1: -0.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.02
Episode: 590000,  Step: 18300121, Episode_step: 43,  Reward_p1: -0.04, Reward_p2: -0.04, Reward_p3: 0.96, Reward_e: -1.04
Episode: 600000,  Step: 18634395, Episode_step: 52,  Reward_p1: -0.05, Reward_p2: -0.05, Reward_p3: 0.95, Reward_e: -1.05
Episode: 610000,  Step: 18972569, Episode_step: 27,  Reward_p1: 0.98, Reward_p2: -0.03, Reward_p3: -0.03, Reward_e: -1.02
Episode: 620000,  Step: 19310789, Episode_step: 66,  Reward_p1: 0.94, Reward_p2: -0.07, Reward_p3: -0.07, Reward_e: -1.06
Episode: 630000,  Step: 19645076, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 640000,  Step: 19969719, Episode_step: 65,  Reward_p1: -0.06, Reward_p2: -0.05, Reward_p3: -0.06, Reward_e: -1.06
Episode: 650000,  Step: 20302559, Episode_step: 49,  Reward_p1: 0.95, Reward_p2: -0.05, Reward_p3: -0.05, Reward_e: -1.05
Episode: 660000,  Step: 20642816, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 670000,  Step: 20969361, Episode_step: 24,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 680000,  Step: 21302459, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 690000,  Step: 21633200, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 700000,  Step: 21960624, Episode_step: 22,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 710000,  Step: 22302372, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 720000,  Step: 22636590, Episode_step: 23,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 730000,  Step: 22984594, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 740000,  Step: 23320992, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 750000,  Step: 23659016, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: 0.98, Reward_p3: -0.02, Reward_e: -1.02
Episode: 760000,  Step: 23997914, Episode_step: 4,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 770000,  Step: 24339740, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1
Episode: 780000,  Step: 24667219, Episode_step: 4,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 790000,  Step: 25003413, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 800000,  Step: 25343061, Episode_step: 19,  Reward_p1: -0.02, Reward_p2: -0.02, Reward_p3: 0.98, Reward_e: -1.02
Episode: 810000,  Step: 25675892, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 820000,  Step: 26029230, Episode_step: 77,  Reward_p1: 0.92, Reward_p2: -0.08, Reward_p3: -0.08, Reward_e: -1.07
