cpu
Start!
Episode: 10000,  Step: 237584, Episode_step: 10,  Reward_p: 1, Reward_e: -1
Episode: 20000,  Step: 489265, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 30000,  Step: 756968, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 40000,  Step: 1233258, Episode_step: 71,  Reward_p: 1, Reward_e: -1
Episode: 50000,  Step: 1735940, Episode_step: 34,  Reward_p: 0, Reward_e: -1
Episode: 60000,  Step: 2442731, Episode_step: 73,  Reward_p: 0, Reward_e: -1
Episode: 70000,  Step: 3333372, Episode_step: 24,  Reward_p: 1, Reward_e: -1
Episode: 80000,  Step: 4245157, Episode_step: 76,  Reward_p: 1, Reward_e: -1
Episode: 90000,  Step: 5147900, Episode_step: 39,  Reward_p: 1, Reward_e: -1
Episode: 100000,  Step: 6049348, Episode_step: 18,  Reward_p: -1, Reward_e: 0
Episode: 110000,  Step: 6887008, Episode_step: 45,  Reward_p: 1, Reward_e: -1
Episode: 120000,  Step: 7694881, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 130000,  Step: 8503579, Episode_step: 85,  Reward_p: 1, Reward_e: -1
Episode: 140000,  Step: 9327261, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 150000,  Step: 10149840, Episode_step: 109,  Reward_p: 1, Reward_e: -1
Episode: 160000,  Step: 10929723, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 170000,  Step: 11657079, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 180000,  Step: 12355219, Episode_step: 57,  Reward_p: 1, Reward_e: -1
Episode: 190000,  Step: 13045779, Episode_step: 77,  Reward_p: 1, Reward_e: -1
Episode: 200000,  Step: 13721899, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 210000,  Step: 14412485, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 220000,  Step: 15077576, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 230000,  Step: 15761578, Episode_step: 164,  Reward_p: 1, Reward_e: -1
Episode: 240000,  Step: 16437170, Episode_step: 80,  Reward_p: 0, Reward_e: -1
Episode: 250000,  Step: 17080775, Episode_step: 62,  Reward_p: 1, Reward_e: -1
Episode: 260000,  Step: 17706393, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 270000,  Step: 18348739, Episode_step: 303,  Reward_p: 0, Reward_e: 0
Episode: 280000,  Step: 18998409, Episode_step: 57,  Reward_p: 1, Reward_e: -1
Episode: 290000,  Step: 19678041, Episode_step: 64,  Reward_p: 1, Reward_e: -1
Episode: 300000,  Step: 20311712, Episode_step: 31,  Reward_p: 1, Reward_e: -1
Episode: 310000,  Step: 20937222, Episode_step: 67,  Reward_p: 1, Reward_e: -1
Episode: 320000,  Step: 21545678, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 330000,  Step: 22140220, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 340000,  Step: 22730066, Episode_step: 125,  Reward_p: 1, Reward_e: -1
Episode: 350000,  Step: 23359409, Episode_step: 71,  Reward_p: 1, Reward_e: -1
Episode: 360000,  Step: 23967088, Episode_step: 80,  Reward_p: 1, Reward_e: -1
Episode: 370000,  Step: 24576511, Episode_step: 129,  Reward_p: 1, Reward_e: -1
Episode: 380000,  Step: 25222894, Episode_step: 115,  Reward_p: 1, Reward_e: -1
Episode: 390000,  Step: 25856832, Episode_step: 217,  Reward_p: 1, Reward_e: -1
Episode: 400000,  Step: 26441370, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 410000,  Step: 27008214, Episode_step: 63,  Reward_p: 1, Reward_e: -1
Episode: 420000,  Step: 27618889, Episode_step: 217,  Reward_p: 1, Reward_e: -1
Episode: 430000,  Step: 28221888, Episode_step: 59,  Reward_p: 1, Reward_e: -1
Episode: 440000,  Step: 28843775, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 450000,  Step: 29441607, Episode_step: 58,  Reward_p: 1, Reward_e: -1
Episode: 460000,  Step: 30038318, Episode_step: 125,  Reward_p: 0, Reward_e: -1
Episode: 470000,  Step: 30621778, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 480000,  Step: 31217051, Episode_step: 71,  Reward_p: 1, Reward_e: -1
Episode: 490000,  Step: 31797591, Episode_step: 33,  Reward_p: 1, Reward_e: -1
Episode: 500000,  Step: 32363989, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 510000,  Step: 32937344, Episode_step: 46,  Reward_p: 1, Reward_e: -1
Episode: 520000,  Step: 33496138, Episode_step: 20,  Reward_p: 1, Reward_e: -1
Episode: 530000,  Step: 34050256, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 540000,  Step: 34598043, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 550000,  Step: 35196289, Episode_step: 258,  Reward_p: 1, Reward_e: -1
Episode: 560000,  Step: 35758595, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 570000,  Step: 36318638, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 580000,  Step: 36862607, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 590000,  Step: 37366677, Episode_step: 59,  Reward_p: 1, Reward_e: -1
Episode: 600000,  Step: 37915354, Episode_step: 36,  Reward_p: 1, Reward_e: -1
Episode: 610000,  Step: 38465515, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 620000,  Step: 39028805, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 630000,  Step: 39559154, Episode_step: 104,  Reward_p: 1, Reward_e: -1
Episode: 640000,  Step: 40086865, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 650000,  Step: 40624747, Episode_step: 33,  Reward_p: 1, Reward_e: -1
Episode: 660000,  Step: 41172360, Episode_step: 48,  Reward_p: 1, Reward_e: -1
Episode: 670000,  Step: 41704955, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 680000,  Step: 42195299, Episode_step: 56,  Reward_p: 1, Reward_e: -1
Episode: 690000,  Step: 42695275, Episode_step: 57,  Reward_p: 1, Reward_e: -1
Episode: 700000,  Step: 43189576, Episode_step: 17,  Reward_p: 1, Reward_e: -1
Episode: 710000,  Step: 43681415, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 720000,  Step: 44176903, Episode_step: 135,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 44666888, Episode_step: 69,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 45198356, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 750000,  Step: 45729789, Episode_step: 60,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 46238562, Episode_step: 29,  Reward_p: 1, Reward_e: -1
Episode: 770000,  Step: 46764818, Episode_step: 29,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 47300133, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 790000,  Step: 47819567, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 48342060, Episode_step: 111,  Reward_p: 1, Reward_e: -1
Episode: 810000,  Step: 48810569, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 820000,  Step: 49288489, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 830000,  Step: 49823834, Episode_step: 12,  Reward_p: 1, Reward_e: -1
