cpu
Start!
Episode: 10000,  Step: 697001, Episode_step: 49,  Reward_p: 0.953, Reward_e: -1.047
Episode: 20000,  Step: 1976849, Episode_step: 90,  Reward_p: -0.08800000000000006, Reward_e: -1.081
Episode: 30000,  Step: 3908514, Episode_step: 44,  Reward_p: 0.958, Reward_e: -1.036
Episode: 40000,  Step: 6412465, Episode_step: 303,  Reward_p: -0.2980000000000002, Reward_e: -0.2860000000000002
Episode: 50000,  Step: 8559491, Episode_step: 64,  Reward_p: 0.938, Reward_e: -1.057
Episode: 60000,  Step: 10474948, Episode_step: 181,  Reward_p: 0.8219999999999998, Reward_e: -1.1420000000000001
Episode: 70000,  Step: 12148601, Episode_step: 110,  Reward_p: 0.8919999999999999, Reward_e: -1.093
Episode: 80000,  Step: 13649051, Episode_step: 65,  Reward_p: 0.938, Reward_e: -1.046
Episode: 90000,  Step: 15014929, Episode_step: 119,  Reward_p: 0.8849999999999999, Reward_e: -1.079
Episode: 100000,  Step: 16290672, Episode_step: 97,  Reward_p: 0.9059999999999999, Reward_e: -1.068
Episode: 110000,  Step: 17457578, Episode_step: 74,  Reward_p: 0.9279999999999999, Reward_e: -1.068
Episode: 120000,  Step: 18561214, Episode_step: 64,  Reward_p: 0.939, Reward_e: -1.05
Episode: 130000,  Step: 19602037, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.006
Episode: 140000,  Step: 20610544, Episode_step: 49,  Reward_p: 0.953, Reward_e: -1.034
Episode: 150000,  Step: 21563095, Episode_step: 43,  Reward_p: 0.961, Reward_e: -1.031
Episode: 160000,  Step: 22495177, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 170000,  Step: 23414110, Episode_step: 173,  Reward_p: 0.8289999999999998, Reward_e: -1.1460000000000001
Episode: 180000,  Step: 24287476, Episode_step: 123,  Reward_p: 0.8789999999999999, Reward_e: -1.105
Episode: 190000,  Step: 25143558, Episode_step: 43,  Reward_p: 0.96, Reward_e: -1.039
Episode: 200000,  Step: 25969878, Episode_step: 26,  Reward_p: 0.976, Reward_e: -1.02
Episode: 210000,  Step: 26833881, Episode_step: 176,  Reward_p: 0.8309999999999998, Reward_e: -1.1560000000000001
Episode: 220000,  Step: 27689143, Episode_step: 78,  Reward_p: 0.9249999999999999, Reward_e: -1.075
Episode: 230000,  Step: 28522866, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 240000,  Step: 29357838, Episode_step: 30,  Reward_p: 0.972, Reward_e: -1.027
