option = indiv
required = 2.4
cpu
Start!
Episode: 710000,  Step: 42116789, Episode_step: 72,  Reward_p: 1, Reward_e: -1
Episode: 720000,  Step: 42621106, Episode_step: 34,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 43098108, Episode_step: 69,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 43590795, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 750000,  Step: 44063905, Episode_step: 24,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 44552953, Episode_step: 80,  Reward_p: 1, Reward_e: -1
Episode: 770000,  Step: 45051304, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 45555434, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 790000,  Step: 46056100, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 46510048, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 810000,  Step: 47000990, Episode_step: 42,  Reward_p: 1, Reward_e: -1
Episode: 820000,  Step: 47489228, Episode_step: 59,  Reward_p: 1, Reward_e: -1
Episode: 830000,  Step: 47961807, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 840000,  Step: 48435523, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 850000,  Step: 48908993, Episode_step: 63,  Reward_p: 1, Reward_e: -1
Episode: 860000,  Step: 49411719, Episode_step: 5,  Reward_p: 1, Reward_e: -1
Episode: 870000,  Step: 49888709, Episode_step: 167,  Reward_p: -1, Reward_e: 0
Episode: 880000,  Step: 50365186, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 890000,  Step: 50865849, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 900000,  Step: 51362497, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 910000,  Step: 51856259, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 920000,  Step: 52346361, Episode_step: 62,  Reward_p: 1, Reward_e: -1
Episode: 930000,  Step: 52822176, Episode_step: 109,  Reward_p: 1, Reward_e: -1
Episode: 940000,  Step: 53306224, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 950000,  Step: 53798568, Episode_step: 93,  Reward_p: 1, Reward_e: -1
Episode: 960000,  Step: 54323130, Episode_step: 74,  Reward_p: 1, Reward_e: -1
Episode: 970000,  Step: 54811160, Episode_step: 31,  Reward_p: 1, Reward_e: -1
Episode: 980000,  Step: 55305093, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 990000,  Step: 55785612, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 1000000,  Step: 56262078, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Finish! 105.73 [h]
