cpu
Start!
Episode: 640000,  Step: 23665178, Episode_step: 26,  Reward_p: 0.976, Reward_e: -1.024
Episode: 650000,  Step: 24007205, Episode_step: 23,  Reward_p: 0.979, Reward_e: -1.02
Episode: 660000,  Step: 24350690, Episode_step: 29,  Reward_p: 0.973, Reward_e: -1.026
Episode: 670000,  Step: 24704655, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.016
Episode: 680000,  Step: 25047134, Episode_step: 27,  Reward_p: 0.975, Reward_e: -1.024
Episode: 690000,  Step: 25392096, Episode_step: 102,  Reward_p: 0.9009999999999999, Reward_e: -1.099
Episode: 700000,  Step: 25727644, Episode_step: 33,  Reward_p: 0.969, Reward_e: -1.031
Episode: 710000,  Step: 26065893, Episode_step: 90,  Reward_p: 0.9139999999999999, Reward_e: -1.087
Episode: 720000,  Step: 26401627, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 730000,  Step: 26734861, Episode_step: 9,  Reward_p: 0.993, Reward_e: -1.007
Episode: 740000,  Step: 27071095, Episode_step: 27,  Reward_p: 0.975, Reward_e: -1.024
Episode: 750000,  Step: 27395834, Episode_step: 66,  Reward_p: 0.938, Reward_e: -1.058
Episode: 760000,  Step: 27727037, Episode_step: 19,  Reward_p: 0.983, Reward_e: -1.017
Episode: 770000,  Step: 28059099, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 780000,  Step: 28392244, Episode_step: 76,  Reward_p: 0.9259999999999999, Reward_e: -1.071
Episode: 790000,  Step: 28726615, Episode_step: 84,  Reward_p: 0.9179999999999999, Reward_e: -1.081
Episode: 800000,  Step: 29061574, Episode_step: 69,  Reward_p: 0.9329999999999999, Reward_e: -1.063
Episode: 810000,  Step: 29392543, Episode_step: 21,  Reward_p: 0.981, Reward_e: -1.019
Episode: 820000,  Step: 29725302, Episode_step: 19,  Reward_p: 0.983, Reward_e: -1.017
Episode: 830000,  Step: 30056039, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 840000,  Step: 30388399, Episode_step: 13,  Reward_p: 0.989, Reward_e: -1.01
Episode: 850000,  Step: 30726389, Episode_step: 22,  Reward_p: 0.98, Reward_e: -1.02
Episode: 860000,  Step: 31054510, Episode_step: 21,  Reward_p: 0.981, Reward_e: -1.017
Episode: 870000,  Step: 31386577, Episode_step: 38,  Reward_p: 0.964, Reward_e: -1.036
Episode: 880000,  Step: 31714955, Episode_step: 21,  Reward_p: 0.981, Reward_e: -1.019
Episode: 890000,  Step: 32048303, Episode_step: 19,  Reward_p: 0.983, Reward_e: -1.017
Episode: 900000,  Step: 32380955, Episode_step: 30,  Reward_p: 0.972, Reward_e: -1.027
Episode: 910000,  Step: 32704456, Episode_step: 32,  Reward_p: 0.971, Reward_e: -1.03
Episode: 920000,  Step: 33031053, Episode_step: 15,  Reward_p: 0.987, Reward_e: -1.013
Episode: 930000,  Step: 33364337, Episode_step: 13,  Reward_p: 0.989, Reward_e: -1.011
Episode: 940000,  Step: 33692536, Episode_step: 73,  Reward_p: 0.9289999999999999, Reward_e: -1.07
Episode: 950000,  Step: 34024024, Episode_step: 27,  Reward_p: 0.975, Reward_e: -1.025
Episode: 960000,  Step: 34358942, Episode_step: 15,  Reward_p: 0.987, Reward_e: -1.012
Episode: 970000,  Step: 34678942, Episode_step: 21,  Reward_p: 0.981, Reward_e: -1.019
Episode: 980000,  Step: 35011923, Episode_step: 58,  Reward_p: 0.944, Reward_e: -1.056
Episode: 990000,  Step: 35343600, Episode_step: 24,  Reward_p: -0.023000000000000013, Reward_e: -1.021
Episode: 1000000,  Step: 35670311, Episode_step: 22,  Reward_p: 0.981, Reward_e: -1.019
Finish! 69.06 [h]
