cpu
Start!
Episode: 720000,  Step: 14108875, Episode_step: 17,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 14304371, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 14482456, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 750000,  Step: 14678133, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 14867224, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 770000,  Step: 15070278, Episode_step: 37,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 15264739, Episode_step: 14,  Reward_p: 0, Reward_e: -1
Episode: 790000,  Step: 15475748, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 15689669, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 810000,  Step: 15902786, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 820000,  Step: 16120090, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 830000,  Step: 16355618, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 840000,  Step: 16605977, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 850000,  Step: 16826652, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 860000,  Step: 17058555, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 870000,  Step: 17277149, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 880000,  Step: 17507726, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 890000,  Step: 17747224, Episode_step: 20,  Reward_p: 1, Reward_e: -1
Episode: 900000,  Step: 17991721, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 910000,  Step: 18244276, Episode_step: 34,  Reward_p: 1, Reward_e: -1
Episode: 920000,  Step: 18485446, Episode_step: 35,  Reward_p: 1, Reward_e: -1
Episode: 930000,  Step: 18742076, Episode_step: 25,  Reward_p: 1, Reward_e: -1
Episode: 940000,  Step: 18984717, Episode_step: 11,  Reward_p: 1, Reward_e: -1
Episode: 950000,  Step: 19217111, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 960000,  Step: 19450144, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 970000,  Step: 19698035, Episode_step: 71,  Reward_p: 1, Reward_e: -1
Episode: 980000,  Step: 19956340, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 990000,  Step: 20227256, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 1000000,  Step: 20504759, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Finish! 44.2 [h]
