cpu
Start!
Episode: 10000,  Step: 436558, Episode_step: 85,  Reward_p: 0, Reward_e: -1
Episode: 20000,  Step: 2142865, Episode_step: 303,  Reward_p: 0, Reward_e: 0
Episode: 30000,  Step: 4529809, Episode_step: 257,  Reward_p: 1, Reward_e: -1
Episode: 40000,  Step: 7013756, Episode_step: 189,  Reward_p: 1, Reward_e: -1
Episode: 50000,  Step: 9156055, Episode_step: 116,  Reward_p: 1, Reward_e: -1
Episode: 60000,  Step: 10924831, Episode_step: 255,  Reward_p: 1, Reward_e: -1
Episode: 70000,  Step: 12429910, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 80000,  Step: 13741805, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 90000,  Step: 14856479, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 100000,  Step: 15883069, Episode_step: 83,  Reward_p: 1, Reward_e: -1
Episode: 110000,  Step: 16891006, Episode_step: 84,  Reward_p: 0, Reward_e: -1
Episode: 120000,  Step: 17891170, Episode_step: 76,  Reward_p: 1, Reward_e: -1
Episode: 130000,  Step: 18811652, Episode_step: 219,  Reward_p: 1, Reward_e: -1
Episode: 140000,  Step: 19736931, Episode_step: 96,  Reward_p: 1, Reward_e: -1
Episode: 150000,  Step: 20667596, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 160000,  Step: 21571802, Episode_step: 44,  Reward_p: 1, Reward_e: -1
Episode: 170000,  Step: 22479649, Episode_step: 63,  Reward_p: 1, Reward_e: -1
Episode: 180000,  Step: 23377407, Episode_step: 131,  Reward_p: 1, Reward_e: -1
Episode: 190000,  Step: 24299028, Episode_step: 42,  Reward_p: 1, Reward_e: -1
Episode: 200000,  Step: 25174634, Episode_step: 45,  Reward_p: 1, Reward_e: -1
Episode: 210000,  Step: 26047864, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 220000,  Step: 26881982, Episode_step: 61,  Reward_p: 1, Reward_e: -1
Episode: 230000,  Step: 27728449, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 240000,  Step: 28507304, Episode_step: 37,  Reward_p: 1, Reward_e: -1
Episode: 250000,  Step: 29275903, Episode_step: 83,  Reward_p: 1, Reward_e: -1
Episode: 260000,  Step: 30079671, Episode_step: 213,  Reward_p: 1, Reward_e: -1
Episode: 270000,  Step: 30910169, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 280000,  Step: 31764634, Episode_step: 76,  Reward_p: 1, Reward_e: -1
Episode: 290000,  Step: 32591740, Episode_step: 47,  Reward_p: 1, Reward_e: -1
Episode: 300000,  Step: 33380635, Episode_step: 95,  Reward_p: 1, Reward_e: -1
Episode: 310000,  Step: 34141702, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 320000,  Step: 34946263, Episode_step: 17,  Reward_p: 1, Reward_e: -1
Episode: 330000,  Step: 35778297, Episode_step: 53,  Reward_p: 1, Reward_e: -1
Episode: 340000,  Step: 36548927, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 350000,  Step: 37332773, Episode_step: 76,  Reward_p: 1, Reward_e: -1
Episode: 360000,  Step: 38127557, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 370000,  Step: 38852689, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 380000,  Step: 39626515, Episode_step: 193,  Reward_p: 1, Reward_e: -1
Episode: 390000,  Step: 40327767, Episode_step: 43,  Reward_p: 1, Reward_e: -1
Episode: 400000,  Step: 41118590, Episode_step: 93,  Reward_p: 1, Reward_e: -1
Episode: 410000,  Step: 41922424, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 420000,  Step: 42706875, Episode_step: 71,  Reward_p: 1, Reward_e: -1
Episode: 430000,  Step: 43526261, Episode_step: 36,  Reward_p: 1, Reward_e: -1
Episode: 440000,  Step: 44257936, Episode_step: 77,  Reward_p: 1, Reward_e: -1
Episode: 450000,  Step: 45112104, Episode_step: 97,  Reward_p: 1, Reward_e: -1
Episode: 460000,  Step: 45917215, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 470000,  Step: 46738215, Episode_step: 107,  Reward_p: 1, Reward_e: -1
Episode: 480000,  Step: 47553786, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 490000,  Step: 48436478, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 500000,  Step: 49237584, Episode_step: 73,  Reward_p: 1, Reward_e: -1
Episode: 510000,  Step: 50144815, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 520000,  Step: 50914275, Episode_step: 18,  Reward_p: 1, Reward_e: -1
Episode: 530000,  Step: 51691419, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 540000,  Step: 52505060, Episode_step: 112,  Reward_p: 1, Reward_e: -1
Episode: 550000,  Step: 53349444, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 560000,  Step: 54163607, Episode_step: 90,  Reward_p: 1, Reward_e: -1
Episode: 570000,  Step: 55041813, Episode_step: 35,  Reward_p: 1, Reward_e: -1
Episode: 580000,  Step: 55877528, Episode_step: 44,  Reward_p: 1, Reward_e: -1
Episode: 590000,  Step: 56756737, Episode_step: 102,  Reward_p: 1, Reward_e: -1
Episode: 600000,  Step: 57665308, Episode_step: 72,  Reward_p: 1, Reward_e: -1
Episode: 610000,  Step: 58455620, Episode_step: 151,  Reward_p: 1, Reward_e: -1
Episode: 620000,  Step: 59314787, Episode_step: 59,  Reward_p: 1, Reward_e: -1
Episode: 630000,  Step: 60129011, Episode_step: 52,  Reward_p: 1, Reward_e: -1
Episode: 640000,  Step: 60969997, Episode_step: 42,  Reward_p: 1, Reward_e: -1
Episode: 650000,  Step: 61824608, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 660000,  Step: 62630667, Episode_step: 75,  Reward_p: 1, Reward_e: -1
Episode: 670000,  Step: 63441180, Episode_step: 52,  Reward_p: 1, Reward_e: -1
Episode: 680000,  Step: 64305911, Episode_step: 100,  Reward_p: 1, Reward_e: -1
Episode: 690000,  Step: 65198682, Episode_step: 7,  Reward_p: 1, Reward_e: -1
Episode: 700000,  Step: 66103018, Episode_step: 86,  Reward_p: 1, Reward_e: -1
Episode: 710000,  Step: 66960505, Episode_step: 86,  Reward_p: 1, Reward_e: -1
Episode: 720000,  Step: 67865741, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 68750216, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 69654198, Episode_step: 303,  Reward_p: 0, Reward_e: 0
Episode: 750000,  Step: 70515895, Episode_step: 66,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 71466448, Episode_step: 303,  Reward_p: 0, Reward_e: 0
Episode: 770000,  Step: 72373984, Episode_step: 52,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 73233742, Episode_step: 163,  Reward_p: 1, Reward_e: -1
Episode: 790000,  Step: 74115917, Episode_step: 253,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 75072544, Episode_step: 120,  Reward_p: 1, Reward_e: -1
