cpu
Start!
Episode: 10000,  Step: 410312, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.008
Episode: 20000,  Step: 1116869, Episode_step: 49,  Reward_p: 0.953, Reward_e: -1.047
Episode: 30000,  Step: 2634250, Episode_step: 22,  Reward_p: 0.98, Reward_e: -1.02
Episode: 40000,  Step: 4044497, Episode_step: 194,  Reward_p: 0.8099999999999998, Reward_e: -1.181
Episode: 50000,  Step: 5294988, Episode_step: 134,  Reward_p: -0.1320000000000001, Reward_e: -1.129
Episode: 60000,  Step: 6399117, Episode_step: 167,  Reward_p: 0.8349999999999999, Reward_e: -1.1440000000000001
Episode: 70000,  Step: 7373862, Episode_step: 15,  Reward_p: 0.987, Reward_e: -1.011
Episode: 80000,  Step: 8251077, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 90000,  Step: 9029967, Episode_step: 39,  Reward_p: 0.963, Reward_e: -1.033
Episode: 100000,  Step: 9746441, Episode_step: 75,  Reward_p: -0.07400000000000005, Reward_e: -1.069
Episode: 110000,  Step: 10438185, Episode_step: 44,  Reward_p: 0.958, Reward_e: -1.041
Episode: 120000,  Step: 11098488, Episode_step: 37,  Reward_p: 0.965, Reward_e: -1.035
Episode: 130000,  Step: 11718056, Episode_step: 185,  Reward_p: 0.8179999999999998, Reward_e: -1.1680000000000001
Episode: 140000,  Step: 12346668, Episode_step: 36,  Reward_p: 0.966, Reward_e: -1.032
Episode: 150000,  Step: 12948616, Episode_step: 71,  Reward_p: -0.06900000000000005, Reward_e: -1.058
Episode: 160000,  Step: 13528617, Episode_step: 33,  Reward_p: 0.969, Reward_e: -1.029
Episode: 170000,  Step: 14100957, Episode_step: 87,  Reward_p: 0.9159999999999999, Reward_e: -1.08
Episode: 180000,  Step: 14656625, Episode_step: 96,  Reward_p: 0.9069999999999999, Reward_e: -1.089
Episode: 190000,  Step: 15208162, Episode_step: 115,  Reward_p: 0.8889999999999999, Reward_e: -1.097
Episode: 200000,  Step: 15762063, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.014
Episode: 210000,  Step: 16305805, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.017
Episode: 220000,  Step: 16836159, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.007
