cpu
Start!
Episode: 10000,  Step: 242681, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 20000,  Step: 401675, Episode_step: 36,  Reward_p: 0, Reward_e: -1
Episode: 30000,  Step: 569301, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 40000,  Step: 721153, Episode_step: 42,  Reward_p: 0, Reward_e: -1
Episode: 50000,  Step: 900496, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 60000,  Step: 1072111, Episode_step: 31,  Reward_p: 1, Reward_e: -1
Episode: 70000,  Step: 1240745, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 80000,  Step: 1464391, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 90000,  Step: 1690059, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 100000,  Step: 1969341, Episode_step: 41,  Reward_p: 1, Reward_e: -1
Episode: 110000,  Step: 2315816, Episode_step: 20,  Reward_p: 1, Reward_e: -1
Episode: 120000,  Step: 2744442, Episode_step: 4,  Reward_p: 1, Reward_e: -1
Episode: 130000,  Step: 3164355, Episode_step: 46,  Reward_p: 1, Reward_e: -1
Episode: 140000,  Step: 3587704, Episode_step: 38,  Reward_p: 1, Reward_e: -1
Episode: 150000,  Step: 4009076, Episode_step: 83,  Reward_p: 1, Reward_e: -1
Episode: 160000,  Step: 4494930, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 170000,  Step: 4959672, Episode_step: 191,  Reward_p: 1, Reward_e: -1
Episode: 180000,  Step: 5390747, Episode_step: 58,  Reward_p: -1, Reward_e: 0
Episode: 190000,  Step: 5804276, Episode_step: 101,  Reward_p: 1, Reward_e: -1
Episode: 200000,  Step: 6236150, Episode_step: 35,  Reward_p: 1, Reward_e: -1
Episode: 210000,  Step: 6644950, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 220000,  Step: 7061250, Episode_step: 39,  Reward_p: 1, Reward_e: -1
Episode: 230000,  Step: 7501125, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 240000,  Step: 7937013, Episode_step: 4,  Reward_p: 1, Reward_e: -1
Episode: 250000,  Step: 8373569, Episode_step: 16,  Reward_p: 1, Reward_e: -1
Episode: 260000,  Step: 8789105, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 270000,  Step: 9230285, Episode_step: 43,  Reward_p: 1, Reward_e: -1
Episode: 280000,  Step: 9659039, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 290000,  Step: 10138831, Episode_step: 5,  Reward_p: 1, Reward_e: -1
Episode: 300000,  Step: 10608118, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 310000,  Step: 11070608, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 320000,  Step: 11508336, Episode_step: 58,  Reward_p: 1, Reward_e: -1
Episode: 330000,  Step: 11931395, Episode_step: 38,  Reward_p: 1, Reward_e: -1
Episode: 340000,  Step: 12332392, Episode_step: 37,  Reward_p: 1, Reward_e: -1
Episode: 350000,  Step: 12715499, Episode_step: 121,  Reward_p: 1, Reward_e: -1
Episode: 360000,  Step: 13101956, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 370000,  Step: 13506277, Episode_step: 26,  Reward_p: 1, Reward_e: -1
Episode: 380000,  Step: 13900232, Episode_step: 13,  Reward_p: 1, Reward_e: -1
Episode: 390000,  Step: 14282583, Episode_step: 10,  Reward_p: 1, Reward_e: -1
Episode: 400000,  Step: 14660233, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 410000,  Step: 15067399, Episode_step: 72,  Reward_p: 1, Reward_e: -1
Episode: 420000,  Step: 15445793, Episode_step: 19,  Reward_p: 1, Reward_e: -1
Episode: 430000,  Step: 15849288, Episode_step: 34,  Reward_p: 1, Reward_e: -1
Episode: 440000,  Step: 16232306, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 450000,  Step: 16633210, Episode_step: 5,  Reward_p: 1, Reward_e: -1
Episode: 460000,  Step: 17036165, Episode_step: 33,  Reward_p: 1, Reward_e: -1
Episode: 470000,  Step: 17399748, Episode_step: 24,  Reward_p: 1, Reward_e: -1
Episode: 480000,  Step: 17772394, Episode_step: 89,  Reward_p: 1, Reward_e: -1
Episode: 490000,  Step: 18166236, Episode_step: 92,  Reward_p: 1, Reward_e: -1
Episode: 500000,  Step: 18524578, Episode_step: 15,  Reward_p: 1, Reward_e: -1
Episode: 510000,  Step: 18905946, Episode_step: 64,  Reward_p: 1, Reward_e: -1
Episode: 520000,  Step: 19292960, Episode_step: 33,  Reward_p: 1, Reward_e: -1
Episode: 530000,  Step: 19691996, Episode_step: 46,  Reward_p: 1, Reward_e: -1
Episode: 540000,  Step: 20050285, Episode_step: 50,  Reward_p: 1, Reward_e: -1
Episode: 550000,  Step: 20465047, Episode_step: 40,  Reward_p: 1, Reward_e: -1
Episode: 560000,  Step: 20862648, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 570000,  Step: 21242625, Episode_step: 31,  Reward_p: 1, Reward_e: -1
Episode: 580000,  Step: 21601454, Episode_step: 78,  Reward_p: 1, Reward_e: -1
Episode: 590000,  Step: 21951950, Episode_step: 30,  Reward_p: -1, Reward_e: -1
Episode: 600000,  Step: 22345899, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 610000,  Step: 22686178, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 620000,  Step: 23054952, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 630000,  Step: 23406905, Episode_step: 23,  Reward_p: 1, Reward_e: -1
Episode: 640000,  Step: 23802356, Episode_step: 112,  Reward_p: 1, Reward_e: -1
Episode: 650000,  Step: 24171422, Episode_step: 87,  Reward_p: 1, Reward_e: -1
Episode: 660000,  Step: 24588133, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 670000,  Step: 25008851, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 680000,  Step: 25393087, Episode_step: 34,  Reward_p: 1, Reward_e: -1
Episode: 690000,  Step: 25821073, Episode_step: 22,  Reward_p: 1, Reward_e: -1
Episode: 700000,  Step: 26223943, Episode_step: 36,  Reward_p: 1, Reward_e: -1
Episode: 710000,  Step: 26643936, Episode_step: 69,  Reward_p: 1, Reward_e: -1
Episode: 720000,  Step: 27075993, Episode_step: 44,  Reward_p: 1, Reward_e: -1
Episode: 730000,  Step: 27492333, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 740000,  Step: 27899911, Episode_step: 59,  Reward_p: 1, Reward_e: -1
Episode: 750000,  Step: 28308738, Episode_step: 51,  Reward_p: 1, Reward_e: -1
Episode: 760000,  Step: 28703873, Episode_step: 6,  Reward_p: 1, Reward_e: -1
Episode: 770000,  Step: 29106039, Episode_step: 28,  Reward_p: 1, Reward_e: -1
Episode: 780000,  Step: 29472720, Episode_step: 69,  Reward_p: 1, Reward_e: -1
Episode: 790000,  Step: 29855480, Episode_step: 17,  Reward_p: 1, Reward_e: -1
Episode: 800000,  Step: 30243292, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 810000,  Step: 30665328, Episode_step: 42,  Reward_p: 1, Reward_e: -1
Episode: 820000,  Step: 31065973, Episode_step: 12,  Reward_p: 1, Reward_e: -1
Episode: 830000,  Step: 31480360, Episode_step: 32,  Reward_p: 1, Reward_e: -1
Episode: 840000,  Step: 31840053, Episode_step: 5,  Reward_p: 1, Reward_e: -1
Episode: 850000,  Step: 32227542, Episode_step: 30,  Reward_p: 1, Reward_e: -1
Episode: 860000,  Step: 32639050, Episode_step: 20,  Reward_p: 1, Reward_e: -1
Episode: 870000,  Step: 33005859, Episode_step: 21,  Reward_p: 1, Reward_e: -1
Episode: 880000,  Step: 33412856, Episode_step: 78,  Reward_p: 1, Reward_e: -1
Episode: 890000,  Step: 33854498, Episode_step: 27,  Reward_p: 1, Reward_e: -1
Episode: 900000,  Step: 34260163, Episode_step: 14,  Reward_p: 1, Reward_e: -1
Episode: 910000,  Step: 34630213, Episode_step: 39,  Reward_p: 1, Reward_e: -1
Episode: 920000,  Step: 35013003, Episode_step: 9,  Reward_p: 1, Reward_e: -1
Episode: 930000,  Step: 35425810, Episode_step: 49,  Reward_p: 1, Reward_e: -1
Episode: 940000,  Step: 35840466, Episode_step: 8,  Reward_p: 1, Reward_e: -1
Episode: 950000,  Step: 36265920, Episode_step: 45,  Reward_p: 1, Reward_e: -1
Episode: 960000,  Step: 36665436, Episode_step: 77,  Reward_p: 1, Reward_e: -1
Episode: 970000,  Step: 37065163, Episode_step: 2,  Reward_p: 1, Reward_e: -1
Episode: 980000,  Step: 37476346, Episode_step: 63,  Reward_p: 1, Reward_e: -1
Episode: 990000,  Step: 37885892, Episode_step: 4,  Reward_p: 1, Reward_e: -1
Episode: 1000000,  Step: 38289295, Episode_step: 61,  Reward_p: 1, Reward_e: -1
Finish! 82.69 [h]
