cpu
Start!
Episode: 10000,  Step: 143766, Episode_step: 9,  Reward_p: 0.993, Reward_e: -1.007
Episode: 20000,  Step: 330105, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.008
Episode: 30000,  Step: 528017, Episode_step: 3,  Reward_p: 0.999, Reward_e: -1
Episode: 40000,  Step: 732481, Episode_step: 16,  Reward_p: -0.015000000000000006, Reward_e: -1.014
Episode: 50000,  Step: 939625, Episode_step: 17,  Reward_p: -0.016000000000000007, Reward_e: -1.015
Episode: 60000,  Step: 1178371, Episode_step: 24,  Reward_p: -0.022000000000000013, Reward_e: -1.022
Episode: 70000,  Step: 1397332, Episode_step: 18,  Reward_p: -0.017000000000000008, Reward_e: -1.016
Episode: 80000,  Step: 1603965, Episode_step: 5,  Reward_p: 0.997, Reward_e: -1.003
Episode: 90000,  Step: 1799534, Episode_step: 23,  Reward_p: -0.022000000000000013, Reward_e: -1.021
Episode: 100000,  Step: 1992987, Episode_step: 31,  Reward_p: 0.971, Reward_e: -1.029
Episode: 110000,  Step: 2194926, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.016
Episode: 120000,  Step: 2394749, Episode_step: 31,  Reward_p: 0.971, Reward_e: -1.029
Episode: 130000,  Step: 2587038, Episode_step: 25,  Reward_p: 0.977, Reward_e: -1.023
Episode: 140000,  Step: 2783548, Episode_step: 16,  Reward_p: -0.015000000000000006, Reward_e: -1.014
Episode: 150000,  Step: 2973528, Episode_step: 26,  Reward_p: 0.977, Reward_e: -1.024
Episode: 160000,  Step: 3167634, Episode_step: 15,  Reward_p: 0.988, Reward_e: -1.013
Episode: 170000,  Step: 3362317, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 180000,  Step: 3558001, Episode_step: 11,  Reward_p: 0.991, Reward_e: -1.009
Episode: 190000,  Step: 3755329, Episode_step: 36,  Reward_p: 0.966, Reward_e: -1.034
Episode: 200000,  Step: 3953336, Episode_step: 17,  Reward_p: 0.985, Reward_e: -1.015
Episode: 210000,  Step: 4150421, Episode_step: 27,  Reward_p: 0.975, Reward_e: -1.025
Episode: 220000,  Step: 4348995, Episode_step: 36,  Reward_p: 0.966, Reward_e: -1.034
Episode: 230000,  Step: 4548145, Episode_step: 20,  Reward_p: 0.983, Reward_e: -1.018
Episode: 240000,  Step: 4746032, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 250000,  Step: 4944450, Episode_step: 17,  Reward_p: 0.985, Reward_e: -1.015
