cpu
Start!
Episode: 650000,  Step: 8249136, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 660000,  Step: 8368297, Episode_step: 6,  Reward_p: 0.996, Reward_e: -1.004
Episode: 670000,  Step: 8487522, Episode_step: 21,  Reward_p: 0.981, Reward_e: -1.019
Episode: 680000,  Step: 8606209, Episode_step: 32,  Reward_p: -0.03100000000000002, Reward_e: -1.03
Episode: 690000,  Step: 8724906, Episode_step: 23,  Reward_p: 0.979, Reward_e: -1.017
Episode: 700000,  Step: 8842265, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.018
Episode: 710000,  Step: 8958654, Episode_step: 18,  Reward_p: -0.017000000000000008, Reward_e: -1.016
Episode: 720000,  Step: 9075845, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 730000,  Step: 9191840, Episode_step: 8,  Reward_p: 0.994, Reward_e: -1.006
Episode: 740000,  Step: 9309510, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 750000,  Step: 9427163, Episode_step: 11,  Reward_p: 0.991, Reward_e: -1.009
Episode: 760000,  Step: 9544026, Episode_step: 3,  Reward_p: 0.999, Reward_e: -1.001
Episode: 770000,  Step: 9659767, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 780000,  Step: 9775509, Episode_step: 11,  Reward_p: 0.991, Reward_e: -1.009
Episode: 790000,  Step: 9892017, Episode_step: 16,  Reward_p: -0.013000000000000005, Reward_e: -1.013
Episode: 800000,  Step: 10009370, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.008
Episode: 810000,  Step: 10126168, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 820000,  Step: 10242381, Episode_step: 18,  Reward_p: 0.984, Reward_e: -1.016
Episode: 830000,  Step: 10357299, Episode_step: 8,  Reward_p: 0.994, Reward_e: -1.006
Episode: 840000,  Step: 10473175, Episode_step: 9,  Reward_p: 0.993, Reward_e: -1.007
Episode: 850000,  Step: 10588578, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 860000,  Step: 10703881, Episode_step: 16,  Reward_p: 0.986, Reward_e: -1.014
Episode: 870000,  Step: 10818138, Episode_step: 7,  Reward_p: 0.995, Reward_e: -1.005
Episode: 880000,  Step: 10933037, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.008
Episode: 890000,  Step: 11047270, Episode_step: 13,  Reward_p: 0.989, Reward_e: -1.01
Episode: 900000,  Step: 11162911, Episode_step: 4,  Reward_p: 0.998, Reward_e: -1.002
Episode: 910000,  Step: 11278644, Episode_step: 10,  Reward_p: 0.992, Reward_e: -1.008
Episode: 920000,  Step: 11395608, Episode_step: 17,  Reward_p: 0.985, Reward_e: -1.015
Episode: 930000,  Step: 11512322, Episode_step: 4,  Reward_p: 0.998, Reward_e: -1.002
Episode: 940000,  Step: 11628328, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 950000,  Step: 11743889, Episode_step: 12,  Reward_p: 0.99, Reward_e: -1.01
Episode: 960000,  Step: 11858661, Episode_step: 13,  Reward_p: 0.989, Reward_e: -1.011
Episode: 970000,  Step: 11971749, Episode_step: 8,  Reward_p: 0.994, Reward_e: -1.006
Episode: 980000,  Step: 12088952, Episode_step: 20,  Reward_p: 0.982, Reward_e: -1.018
Episode: 990000,  Step: 12204582, Episode_step: 20,  Reward_p: -0.01900000000000001, Reward_e: -1.018
Episode: 1000000,  Step: 12320902, Episode_step: 11,  Reward_p: 0.991, Reward_e: -1.009
Finish! 25.37 [h]
