cpu
Start!
Episode: 10000,  Step: 171593, Episode_step: 18,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 20000,  Step: 375432, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 30000,  Step: 587358, Episode_step: 16,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 40000,  Step: 819583, Episode_step: 24,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 1105398, Episode_step: 18,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 60000,  Step: 1427016, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 1769566, Episode_step: 24,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 80000,  Step: 2218525, Episode_step: 21,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 2804101, Episode_step: 52,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 3347927, Episode_step: 131,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 3833627, Episode_step: 77,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 4350679, Episode_step: 154,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 130000,  Step: 4878385, Episode_step: 19,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 140000,  Step: 5466432, Episode_step: 16,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 150000,  Step: 6016959, Episode_step: 40,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 160000,  Step: 6531693, Episode_step: 78,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 170000,  Step: 7044281, Episode_step: 45,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 180000,  Step: 7673087, Episode_step: 46,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 190000,  Step: 8445631, Episode_step: 25,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 200000,  Step: 9004665, Episode_step: 19,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 210000,  Step: 9522053, Episode_step: 54,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 10044384, Episode_step: 163,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 230000,  Step: 10765052, Episode_step: 293,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 240000,  Step: 11505871, Episode_step: 131,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 250000,  Step: 12543146, Episode_step: 111,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 13645938, Episode_step: 54,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 270000,  Step: 14881955, Episode_step: 145,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 280000,  Step: 15772998, Episode_step: 83,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 290000,  Step: 16650434, Episode_step: 49,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 300000,  Step: 17367750, Episode_step: 209,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 310000,  Step: 18116542, Episode_step: 133,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 320000,  Step: 18797388, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 330000,  Step: 19467412, Episode_step: 87,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 340000,  Step: 20139542, Episode_step: 53,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 350000,  Step: 20806245, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 360000,  Step: 21528260, Episode_step: 49,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 370000,  Step: 22193018, Episode_step: 64,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 380000,  Step: 22838488, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 390000,  Step: 23332735, Episode_step: 61,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 400000,  Step: 23792913, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 410000,  Step: 24253516, Episode_step: 201,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 420000,  Step: 24784352, Episode_step: 3,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 430000,  Step: 25350145, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 440000,  Step: 25936313, Episode_step: 39,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 450000,  Step: 26512341, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 27035478, Episode_step: 22,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 470000,  Step: 27553102, Episode_step: 37,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 480000,  Step: 28055817, Episode_step: 93,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 28590174, Episode_step: 54,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 500000,  Step: 29167199, Episode_step: 57,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 510000,  Step: 29704269, Episode_step: 61,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
