cpu
Start!
Episode: 10000,  Step: 155795, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 304623, Episode_step: 9,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 30000,  Step: 472874, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 40000,  Step: 634780, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 794177, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 60000,  Step: 946821, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 1096793, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 80000,  Step: 1255151, Episode_step: 20,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 90000,  Step: 1425182, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 1592227, Episode_step: 26,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 1763566, Episode_step: 37,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 120000,  Step: 1935664, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 130000,  Step: 2116447, Episode_step: 19,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 2309735, Episode_step: 7,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 150000,  Step: 2498343, Episode_step: 16,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 160000,  Step: 2685061, Episode_step: 17,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 170000,  Step: 2867961, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 180000,  Step: 3048633, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 190000,  Step: 3221790, Episode_step: 28,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 200000,  Step: 3389651, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 210000,  Step: 3561703, Episode_step: 36,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 3734434, Episode_step: 20,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 230000,  Step: 3906036, Episode_step: 21,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 240000,  Step: 4073922, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 250000,  Step: 4245530, Episode_step: 16,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 4415876, Episode_step: 21,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 270000,  Step: 4582371, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 280000,  Step: 4748451, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 290000,  Step: 4916004, Episode_step: 25,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 5081358, Episode_step: 17,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 310000,  Step: 5244283, Episode_step: 17,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 320000,  Step: 5411012, Episode_step: 18,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 330000,  Step: 5580691, Episode_step: 16,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 340000,  Step: 5745030, Episode_step: 23,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 350000,  Step: 5914442, Episode_step: 22,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 360000,  Step: 6081328, Episode_step: 16,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 370000,  Step: 6249666, Episode_step: 41,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 380000,  Step: 6423315, Episode_step: 30,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 390000,  Step: 6593867, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 400000,  Step: 6767090, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 410000,  Step: 6944025, Episode_step: 11,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 420000,  Step: 7119444, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 430000,  Step: 7290516, Episode_step: 22,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 440000,  Step: 7458977, Episode_step: 19,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 450000,  Step: 7628481, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 7799468, Episode_step: 24,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 470000,  Step: 7967632, Episode_step: 23,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 480000,  Step: 8137433, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 8309480, Episode_step: 16,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 500000,  Step: 8477754, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 510000,  Step: 8647315, Episode_step: 20,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 520000,  Step: 8814966, Episode_step: 24,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 530000,  Step: 8985836, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 540000,  Step: 9154980, Episode_step: 24,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 550000,  Step: 9322628, Episode_step: 19,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 9488822, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 570000,  Step: 9654865, Episode_step: 40,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 580000,  Step: 9820531, Episode_step: 14,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 9986930, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 600000,  Step: 10159496, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 610000,  Step: 10329702, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
