cpu
Start!
Episode: 10000,  Step: 343770, Episode_step: 193,  Reward_p1: 0.8099999999999998, Reward_p2: -0.09000000000000007, Reward_e: -1.191
Episode: 20000,  Step: 829071, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: -0.015000000000000006, Reward_e: -1.005
Episode: 30000,  Step: 1622333, Episode_step: 47,  Reward_p1: -0.046000000000000034, Reward_p2: 0.955, Reward_e: -1.045
Episode: 40000,  Step: 2715898, Episode_step: 75,  Reward_p1: -0.07100000000000005, Reward_p2: -0.07300000000000005, Reward_e: -1.069
Episode: 50000,  Step: 4037006, Episode_step: 26,  Reward_p1: -0.025000000000000015, Reward_p2: -0.024000000000000014, Reward_e: -1.023
Episode: 60000,  Step: 5426079, Episode_step: 303,  Reward_p1: -0.3000000000000002, Reward_p2: -0.2970000000000002, Reward_e: -0.2900000000000002
Episode: 70000,  Step: 6840669, Episode_step: 48,  Reward_p1: -0.04500000000000003, Reward_p2: 0.954, Reward_e: -1.043
Episode: 80000,  Step: 8244592, Episode_step: 303,  Reward_p1: -0.3010000000000002, Reward_p2: -0.2980000000000002, Reward_e: -0.2920000000000002
Episode: 90000,  Step: 9676431, Episode_step: 303,  Reward_p1: -0.2860000000000002, Reward_p2: -0.2800000000000002, Reward_e: -0.2850000000000002
Episode: 100000,  Step: 11063354, Episode_step: 263,  Reward_p1: -0.25500000000000017, Reward_p2: 0.7419999999999998, Reward_e: -1.2540000000000002
Episode: 110000,  Step: 12442661, Episode_step: 197,  Reward_p1: 0.8189999999999998, Reward_p2: -0.19500000000000015, Reward_e: -1.175
Episode: 120000,  Step: 13835507, Episode_step: 303,  Reward_p1: -0.3020000000000002, Reward_p2: -0.2880000000000002, Reward_e: -0.2660000000000002
Episode: 130000,  Step: 15186542, Episode_step: 303,  Reward_p1: -0.2770000000000002, Reward_p2: -0.2820000000000002, Reward_e: -0.2970000000000002
Episode: 140000,  Step: 16502078, Episode_step: 206,  Reward_p1: 0.8009999999999998, Reward_p2: -0.19700000000000015, Reward_e: -1.177
Episode: 150000,  Step: 17772735, Episode_step: 303,  Reward_p1: -0.2980000000000002, Reward_p2: -0.20100000000000015, Reward_e: -0.2800000000000002
