option = share
required = 2.4
cpu
Start!
Episode: 570000,  Step: 37953957, Episode_step: 35,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 580000,  Step: 38483331, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 39025584, Episode_step: 53,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 600000,  Step: 39553213, Episode_step: 104,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 610000,  Step: 40098023, Episode_step: 71,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 620000,  Step: 40622224, Episode_step: 100,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 630000,  Step: 41150249, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 640000,  Step: 41660065, Episode_step: 53,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 650000,  Step: 42174377, Episode_step: 107,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 660000,  Step: 42704612, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 670000,  Step: 43247970, Episode_step: 65,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 680000,  Step: 43785782, Episode_step: 66,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 690000,  Step: 44335844, Episode_step: 34,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 700000,  Step: 44848752, Episode_step: 83,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 45357934, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 720000,  Step: 45869276, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 730000,  Step: 46388161, Episode_step: 192,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 740000,  Step: 46901865, Episode_step: 98,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 750000,  Step: 47403111, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 760000,  Step: 47931389, Episode_step: 96,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 770000,  Step: 48454238, Episode_step: 69,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 780000,  Step: 48958459, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 49478392, Episode_step: 46,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 800000,  Step: 50013630, Episode_step: 60,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 810000,  Step: 50523385, Episode_step: 52,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 820000,  Step: 51050416, Episode_step: 91,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 830000,  Step: 51569798, Episode_step: 82,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 840000,  Step: 52093720, Episode_step: 33,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 850000,  Step: 52616910, Episode_step: 154,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 860000,  Step: 53139736, Episode_step: 111,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 870000,  Step: 53637356, Episode_step: 37,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 880000,  Step: 54151451, Episode_step: 30,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 890000,  Step: 54666220, Episode_step: 29,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 900000,  Step: 55172830, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
