cpu
Start!
Episode: 500000,  Step: 4864636, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 510000,  Step: 4954135, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: 0.986, Reward_e: -1.013
Episode: 520000,  Step: 5044325, Episode_step: 16,  Reward_p1: -0.014000000000000005, Reward_p2: -0.011000000000000003, Reward_e: -1.013
Episode: 530000,  Step: 5133124, Episode_step: 8,  Reward_p1: -0.007, Reward_p2: 0.994, Reward_e: -1.006
Episode: 540000,  Step: 5221205, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 550000,  Step: 5309674, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 560000,  Step: 5398092, Episode_step: 7,  Reward_p1: -0.006, Reward_p2: 0.995, Reward_e: -1.005
Episode: 570000,  Step: 5486839, Episode_step: 15,  Reward_p1: 0.988, Reward_p2: -0.013000000000000005, Reward_e: -1.013
Episode: 580000,  Step: 5574534, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: 0.986, Reward_e: -1.012
Episode: 590000,  Step: 5663535, Episode_step: 4,  Reward_p1: -0.003, Reward_p2: 0.998, Reward_e: -1.002
Episode: 600000,  Step: 5752420, Episode_step: 8,  Reward_p1: -0.007, Reward_p2: 0.994, Reward_e: -1.006
Episode: 610000,  Step: 5840907, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 620000,  Step: 5929613, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.011000000000000003, Reward_e: -1.009
Episode: 630000,  Step: 6018045, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 640000,  Step: 6106769, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: -0.004, Reward_e: -1.003
Episode: 650000,  Step: 6194310, Episode_step: 8,  Reward_p1: 0.994, Reward_p2: 0.994, Reward_e: -1.006
Episode: 660000,  Step: 6282816, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 670000,  Step: 6371257, Episode_step: 6,  Reward_p1: -0.005, Reward_p2: 0.996, Reward_e: -1.004
Episode: 680000,  Step: 6459878, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.006, Reward_e: -1.005
Episode: 690000,  Step: 6547351, Episode_step: 8,  Reward_p1: 0.994, Reward_p2: -0.006, Reward_e: -1.006
Episode: 700000,  Step: 6635311, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.006, Reward_e: -1.005
Episode: 710000,  Step: 6722548, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.01
Episode: 720000,  Step: 6810514, Episode_step: 16,  Reward_p1: -0.013000000000000005, Reward_p2: 0.986, Reward_e: -1.014
Episode: 730000,  Step: 6898881, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 740000,  Step: 6986939, Episode_step: 10,  Reward_p1: -0.009000000000000001, Reward_p2: 0.992, Reward_e: -1.008
Episode: 750000,  Step: 7074610, Episode_step: 3,  Reward_p1: -0.002, Reward_p2: 0.999, Reward_e: -1.001
Episode: 760000,  Step: 7161651, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 770000,  Step: 7249386, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: 0.99, Reward_e: -1.011
Episode: 780000,  Step: 7335931, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 7422750, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: 0.988, Reward_e: -1.012
Episode: 800000,  Step: 7509662, Episode_step: 6,  Reward_p1: -0.005, Reward_p2: 0.996, Reward_e: -1.004
Episode: 810000,  Step: 7597113, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.005, Reward_e: -1.004
Episode: 820000,  Step: 7684753, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: 0.99, Reward_e: -1.01
Episode: 830000,  Step: 7771900, Episode_step: 11,  Reward_p1: -0.010000000000000002, Reward_p2: 0.991, Reward_e: -1.009
Episode: 840000,  Step: 7858383, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.009000000000000001, Reward_e: -1.013
Episode: 850000,  Step: 7945134, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: 0.986, Reward_e: -1.014
Episode: 860000,  Step: 8032378, Episode_step: 7,  Reward_p1: -0.006, Reward_p2: 0.995, Reward_e: -1.003
Episode: 870000,  Step: 8119021, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 880000,  Step: 8205953, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 890000,  Step: 8293605, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: -0.004, Reward_e: -1.003
Episode: 900000,  Step: 8381057, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 910000,  Step: 8466918, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 920000,  Step: 8552545, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 930000,  Step: 8639593, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: 0.988, Reward_e: -1.012
Episode: 940000,  Step: 8725413, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 950000,  Step: 8811762, Episode_step: 16,  Reward_p1: -0.006, Reward_p2: 0.986, Reward_e: -1.011
Episode: 960000,  Step: 8897292, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.011
Episode: 970000,  Step: 8984399, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 980000,  Step: 9070470, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.005, Reward_e: -1.005
Episode: 990000,  Step: 9156636, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: -0.006, Reward_e: -1.005
Episode: 1000000,  Step: 9243053, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: -1.014, Reward_e: -0.015000000000000006
Finish! 29.94 [h]
