option = indiv
required = 2.4
cpu
Start!
Episode: 570000,  Step: 31795644, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 580000,  Step: 32318200, Episode_step: 47,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 590000,  Step: 32843042, Episode_step: 22,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 600000,  Step: 33349337, Episode_step: 269,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 610000,  Step: 33858309, Episode_step: 59,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 620000,  Step: 34356769, Episode_step: 49,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 630000,  Step: 34862261, Episode_step: 61,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 640000,  Step: 35385136, Episode_step: 56,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 650000,  Step: 35891562, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 660000,  Step: 36393579, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 670000,  Step: 36912221, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 680000,  Step: 37436981, Episode_step: 109,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 690000,  Step: 37948737, Episode_step: 76,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 700000,  Step: 38438158, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 38944007, Episode_step: 46,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 720000,  Step: 39445926, Episode_step: 31,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 730000,  Step: 39944062, Episode_step: 98,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 740000,  Step: 40420920, Episode_step: 119,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 750000,  Step: 40931481, Episode_step: 22,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 760000,  Step: 41443966, Episode_step: 50,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 770000,  Step: 41942412, Episode_step: 51,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 780000,  Step: 42440083, Episode_step: 31,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 42934904, Episode_step: 108,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 800000,  Step: 43435650, Episode_step: 118,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 810000,  Step: 43929996, Episode_step: 27,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 820000,  Step: 44419031, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 830000,  Step: 44919475, Episode_step: 54,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 840000,  Step: 45413864, Episode_step: 46,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 850000,  Step: 45908372, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 860000,  Step: 46407358, Episode_step: 85,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 870000,  Step: 46913030, Episode_step: 27,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 880000,  Step: 47403796, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 890000,  Step: 47894569, Episode_step: 26,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 900000,  Step: 48374090, Episode_step: 54,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 910000,  Step: 48848270, Episode_step: 40,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 920000,  Step: 49323654, Episode_step: 15,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 930000,  Step: 49799068, Episode_step: 205,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 940000,  Step: 50277075, Episode_step: 21,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 950000,  Step: 50754268, Episode_step: 84,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 960000,  Step: 51245089, Episode_step: 120,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 970000,  Step: 51736286, Episode_step: 74,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 980000,  Step: 52226614, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 990000,  Step: 52725586, Episode_step: 149,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 1000000,  Step: 53225997, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Finish! 151.02 [h]
