cpu
Start!
Episode: 10000,  Step: 201686, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: -0.014000000000000005, Reward_e: -1.015
Episode: 20000,  Step: 430073, Episode_step: 61,  Reward_p1: -0.04400000000000003, Reward_p2: -0.058000000000000045, Reward_e: -1.059
Episode: 30000,  Step: 658826, Episode_step: 8,  Reward_p1: 0.994, Reward_p2: 0.994, Reward_e: -1.006
Episode: 40000,  Step: 882347, Episode_step: 95,  Reward_p1: -0.09400000000000007, Reward_p2: -0.09400000000000007, Reward_e: -1.091
Episode: 50000,  Step: 1110623, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: 0.987, Reward_e: -1.013
Episode: 60000,  Step: 1348205, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 70000,  Step: 1609626, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: 0.982, Reward_e: -1.018
Episode: 80000,  Step: 1903629, Episode_step: 50,  Reward_p1: -0.04900000000000004, Reward_p2: -0.04300000000000003, Reward_e: -1.047
Episode: 90000,  Step: 2200930, Episode_step: 26,  Reward_p1: -0.022000000000000013, Reward_p2: -1.021, Reward_e: -0.023000000000000013
Episode: 100000,  Step: 2507401, Episode_step: 49,  Reward_p1: 0.953, Reward_p2: 0.956, Reward_e: -1.047
Episode: 110000,  Step: 2799869, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 3101452, Episode_step: 21,  Reward_p1: -0.02000000000000001, Reward_p2: -0.02000000000000001, Reward_e: -1.016
Episode: 130000,  Step: 3416200, Episode_step: 104,  Reward_p1: 0.8989999999999999, Reward_p2: 0.8979999999999999, Reward_e: -1.099
Episode: 140000,  Step: 3737269, Episode_step: 35,  Reward_p1: 0.967, Reward_p2: 0.967, Reward_e: -1.029
Episode: 150000,  Step: 4063564, Episode_step: 20,  Reward_p1: -0.01900000000000001, Reward_p2: -0.01900000000000001, Reward_e: -1.018
