cpu
Start!
Episode: 10000,  Step: 240346, Episode_step: 63,  Reward_p1: -0.06200000000000005, Reward_p2: -0.060000000000000046, Reward_e: -1.061
Episode: 20000,  Step: 566068, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 30000,  Step: 922580, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 40000,  Step: 1416832, Episode_step: 3,  Reward_p1: 0.999, Reward_p2: 0.999, Reward_e: -1.001
Episode: 50000,  Step: 2015572, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 60000,  Step: 2574169, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 70000,  Step: 3216815, Episode_step: 69,  Reward_p1: -0.060000000000000046, Reward_p2: -0.06700000000000005, Reward_e: -1.066
Episode: 80000,  Step: 3984408, Episode_step: 62,  Reward_p1: -0.058000000000000045, Reward_p2: -0.05300000000000004, Reward_e: -1.054
Episode: 90000,  Step: 4813196, Episode_step: 91,  Reward_p1: 0.9119999999999999, Reward_p2: 0.9129999999999999, Reward_e: -1.083
Episode: 100000,  Step: 5691028, Episode_step: 175,  Reward_p1: 0.8289999999999998, Reward_p2: 0.8289999999999998, Reward_e: -1.147
Episode: 110000,  Step: 6596911, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 7489595, Episode_step: 24,  Reward_p1: 0.978, Reward_p2: 0.978, Reward_e: -1.02
Episode: 130000,  Step: 8238156, Episode_step: 249,  Reward_p1: -0.2460000000000002, Reward_p2: -0.2430000000000002, Reward_e: -1.239
Episode: 140000,  Step: 8973697, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 150000,  Step: 9761537, Episode_step: 245,  Reward_p1: -1.241, Reward_p2: -0.22800000000000017, Reward_e: -0.23200000000000018
Episode: 160000,  Step: 10525229, Episode_step: 121,  Reward_p1: -0.11800000000000009, Reward_p2: -0.11500000000000009, Reward_e: -1.113
Episode: 170000,  Step: 11250783, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: 0.987, Reward_e: -1.012
Episode: 180000,  Step: 11948016, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: 0.984, Reward_e: -1.017
Episode: 190000,  Step: 12645385, Episode_step: 27,  Reward_p1: 0.975, Reward_p2: 0.975, Reward_e: -1.025
Episode: 200000,  Step: 13444788, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 14247603, Episode_step: 108,  Reward_p1: -0.10500000000000008, Reward_p2: -0.10700000000000008, Reward_e: -1.105
Episode: 220000,  Step: 15052520, Episode_step: 20,  Reward_p1: 0.983, Reward_p2: 0.982, Reward_e: -1.017
Episode: 230000,  Step: 15762277, Episode_step: 60,  Reward_p1: 0.942, Reward_p2: 0.947, Reward_e: -1.055
Episode: 240000,  Step: 16443717, Episode_step: 157,  Reward_p1: 0.8469999999999999, Reward_p2: 0.8549999999999999, Reward_e: -1.147
Episode: 250000,  Step: 17141673, Episode_step: 35,  Reward_p1: -0.03200000000000002, Reward_p2: -0.03400000000000002, Reward_e: -1.032
Episode: 260000,  Step: 17837263, Episode_step: 137,  Reward_p1: 0.8669999999999999, Reward_p2: 0.8649999999999999, Reward_e: -1.125
Episode: 270000,  Step: 18522593, Episode_step: 169,  Reward_p1: 0.8349999999999999, Reward_p2: 0.8369999999999999, Reward_e: -1.153
Episode: 280000,  Step: 19230974, Episode_step: 21,  Reward_p1: 0.981, Reward_p2: 0.981, Reward_e: -1.019
Episode: 290000,  Step: 19967565, Episode_step: 107,  Reward_p1: 0.8949999999999999, Reward_p2: 0.8979999999999999, Reward_e: -1.098
Episode: 300000,  Step: 20678751, Episode_step: 64,  Reward_p1: 0.938, Reward_p2: 0.94, Reward_e: -1.058
Episode: 310000,  Step: 21366245, Episode_step: 37,  Reward_p1: 0.965, Reward_p2: 0.965, Reward_e: -1.034
