cpu
Start!
Episode: 10000,  Step: 281664, Episode_step: 29,  Reward_p1: 0.973, Reward_p2: 0.973, Reward_e: -1.026
Episode: 20000,  Step: 589186, Episode_step: 33,  Reward_p1: -0.03100000000000002, Reward_p2: -0.03100000000000002, Reward_e: -1.031
Episode: 30000,  Step: 924519, Episode_step: 7,  Reward_p1: -0.006, Reward_p2: 0.995, Reward_e: -1.005
Episode: 40000,  Step: 1270328, Episode_step: 52,  Reward_p1: 0.95, Reward_p2: -0.05100000000000004, Reward_e: -1.05
Episode: 50000,  Step: 1632725, Episode_step: 25,  Reward_p1: -0.024000000000000014, Reward_p2: -0.024000000000000014, Reward_e: -1.022
Episode: 60000,  Step: 1984787, Episode_step: 37,  Reward_p1: -0.036000000000000025, Reward_p2: -1.035, Reward_e: -0.035000000000000024
Episode: 70000,  Step: 2439371, Episode_step: 122,  Reward_p1: -0.11600000000000009, Reward_p2: -0.1210000000000001, Reward_e: -1.114
Episode: 80000,  Step: 3052731, Episode_step: 20,  Reward_p1: -0.01900000000000001, Reward_p2: -0.01800000000000001, Reward_e: -1.018
Episode: 90000,  Step: 3715535, Episode_step: 19,  Reward_p1: -0.01800000000000001, Reward_p2: 0.983, Reward_e: -1.016
Episode: 100000,  Step: 4387389, Episode_step: 51,  Reward_p1: -0.04900000000000004, Reward_p2: 0.956, Reward_e: -1.048
Episode: 110000,  Step: 5019395, Episode_step: 22,  Reward_p1: -0.02100000000000001, Reward_p2: 0.98, Reward_e: -1.019
Episode: 120000,  Step: 5639468, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 130000,  Step: 6266356, Episode_step: 303,  Reward_p1: -0.2980000000000002, Reward_p2: -0.2990000000000002, Reward_e: -0.3000000000000002
Episode: 140000,  Step: 6931208, Episode_step: 28,  Reward_p1: 0.974, Reward_p2: -0.027000000000000017, Reward_e: -1.025
Episode: 150000,  Step: 7557574, Episode_step: 120,  Reward_p1: -0.11600000000000009, Reward_p2: 0.8829999999999999, Reward_e: -1.116
Episode: 160000,  Step: 8233208, Episode_step: 89,  Reward_p1: -0.08500000000000006, Reward_p2: -1.086, Reward_e: -0.08500000000000006
Episode: 170000,  Step: 8886043, Episode_step: 46,  Reward_p1: -0.04400000000000003, Reward_p2: 0.957, Reward_e: -1.041
