cpu
Start!
Episode: 480000,  Step: 6062425, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 6177628, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 500000,  Step: 6293371, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.014000000000000005, Reward_e: -1.015
Episode: 510000,  Step: 6409791, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.015000000000000006, Reward_e: -1.015
Episode: 520000,  Step: 6525512, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: -0.010000000000000002, Reward_e: -1.008
Episode: 530000,  Step: 6642891, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 540000,  Step: 6757620, Episode_step: 5,  Reward_p1: -0.004, Reward_p2: 0.997, Reward_e: -1.003
Episode: 550000,  Step: 6872619, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: -0.010000000000000002, Reward_e: -1.009
Episode: 560000,  Step: 6987937, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.013
Episode: 570000,  Step: 7103250, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 580000,  Step: 7219722, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: -0.005, Reward_e: -1.004
Episode: 590000,  Step: 7335182, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: -0.009000000000000001, Reward_e: -1.013
Episode: 600000,  Step: 7450319, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: 0.99, Reward_e: -1.012
Episode: 610000,  Step: 7565426, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.013000000000000005, Reward_e: -1.011
Episode: 620000,  Step: 7681012, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: -0.003, Reward_e: -1.002
