cpu
Start!
Episode: 10000,  Step: 187590, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: 0.997, Reward_e: -1.001
Episode: 20000,  Step: 357757, Episode_step: 22,  Reward_p1: -0.02000000000000001, Reward_p2: -1.02, Reward_e: -0.02100000000000001
Episode: 30000,  Step: 527783, Episode_step: 42,  Reward_p1: 0.96, Reward_p2: 0.963, Reward_e: -1.039
Episode: 40000,  Step: 704307, Episode_step: 17,  Reward_p1: -0.001, Reward_p2: -0.011000000000000003, Reward_e: -1.011
Episode: 50000,  Step: 876166, Episode_step: 23,  Reward_p1: 0.979, Reward_p2: 0.979, Reward_e: -1.021
Episode: 60000,  Step: 1051742, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.989, Reward_e: -1.011
Episode: 70000,  Step: 1222880, Episode_step: 31,  Reward_p1: 0.971, Reward_p2: 0.976, Reward_e: -1.029
Episode: 80000,  Step: 1390909, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: 0.998, Reward_e: -1.002
Episode: 90000,  Step: 1572110, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: 0.998, Reward_e: -1.002
Episode: 100000,  Step: 1749311, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: 0.988, Reward_e: -1.012
Episode: 110000,  Step: 1931359, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: 0.991, Reward_e: -1.009
Episode: 120000,  Step: 2144919, Episode_step: 46,  Reward_p1: 0.957, Reward_p2: 0.956, Reward_e: -1.044
Episode: 130000,  Step: 2347406, Episode_step: 20,  Reward_p1: -0.01900000000000001, Reward_p2: -0.008, Reward_e: -1.018
Episode: 140000,  Step: 2533297, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: 0.991, Reward_e: -1.009
Episode: 150000,  Step: 2711253, Episode_step: 41,  Reward_p1: -0.03900000000000003, Reward_p2: -0.008, Reward_e: -1.039
Episode: 160000,  Step: 2880437, Episode_step: 49,  Reward_p1: -0.04200000000000003, Reward_p2: -0.017000000000000008, Reward_e: -1.044
Episode: 170000,  Step: 3058387, Episode_step: 16,  Reward_p1: -0.014000000000000005, Reward_p2: -0.009000000000000001, Reward_e: -1.014
Episode: 180000,  Step: 3229815, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_e: -1.01
Episode: 190000,  Step: 3402791, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: 0.998, Reward_e: -1.002
Episode: 200000,  Step: 3572497, Episode_step: 27,  Reward_p1: -0.02000000000000001, Reward_p2: -1.017, Reward_e: -0.026000000000000016
Episode: 210000,  Step: 3743508, Episode_step: 15,  Reward_p1: -0.013000000000000005, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 220000,  Step: 3916122, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: -0.013000000000000005, Reward_e: -1.011
Episode: 230000,  Step: 4083426, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 240000,  Step: 4256389, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: 0.986, Reward_e: -1.014
Episode: 250000,  Step: 4423113, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 4590736, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: 0.985, Reward_e: -1.014
Episode: 270000,  Step: 4752110, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: 0.982, Reward_e: -1.017
Episode: 280000,  Step: 4911866, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: 0.996, Reward_e: -1.004
Episode: 290000,  Step: 5065687, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: -0.016000000000000007, Reward_e: -1.014
Episode: 300000,  Step: 5220039, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: 0.981, Reward_e: -1.02
Episode: 310000,  Step: 5380704, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 320000,  Step: 5540575, Episode_step: 63,  Reward_p1: -1.058, Reward_p2: -0.060000000000000046, Reward_e: -0.06100000000000005
Episode: 330000,  Step: 5701048, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: 0.993, Reward_e: -1.007
Episode: 340000,  Step: 5853780, Episode_step: 52,  Reward_p1: 0.95, Reward_p2: 0.95, Reward_e: -1.049
Episode: 350000,  Step: 6009617, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: 0.997, Reward_e: -1.003
Episode: 360000,  Step: 6161949, Episode_step: 19,  Reward_p1: 0.983, Reward_p2: 0.983, Reward_e: -1.017
Episode: 370000,  Step: 6314477, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 380000,  Step: 6466513, Episode_step: 19,  Reward_p1: -0.01800000000000001, Reward_p2: -0.01800000000000001, Reward_e: -1.017
Episode: 390000,  Step: 6621883, Episode_step: 23,  Reward_p1: 0.982, Reward_p2: 0.979, Reward_e: -1.021
Episode: 400000,  Step: 6780444, Episode_step: 32,  Reward_p1: 0.973, Reward_p2: 0.97, Reward_e: -1.03
Episode: 410000,  Step: 6936320, Episode_step: 19,  Reward_p1: 0.983, Reward_p2: 0.983, Reward_e: -1.017
Episode: 420000,  Step: 7088153, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: -0.013000000000000005, Reward_e: -1.012
Episode: 430000,  Step: 7240608, Episode_step: 8,  Reward_p1: 0.994, Reward_p2: 0.994, Reward_e: -1.006
Episode: 440000,  Step: 7395756, Episode_step: 22,  Reward_p1: -0.02100000000000001, Reward_p2: -0.02100000000000001, Reward_e: -1.018
Episode: 450000,  Step: 7553090, Episode_step: 4,  Reward_p1: 0.998, Reward_p2: 0.998, Reward_e: -1.001
Episode: 460000,  Step: 7708149, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: 0.988, Reward_e: -1.012
Episode: 470000,  Step: 7861939, Episode_step: 25,  Reward_p1: 0.977, Reward_p2: 0.981, Reward_e: -1.023
Episode: 480000,  Step: 8018427, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 8173791, Episode_step: 34,  Reward_p1: 0.968, Reward_p2: 0.968, Reward_e: -1.032
Episode: 500000,  Step: 8331006, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: 0.985, Reward_e: -1.014
Episode: 510000,  Step: 8484867, Episode_step: 21,  Reward_p1: 0.981, Reward_p2: 0.981, Reward_e: -1.019
Episode: 520000,  Step: 8636151, Episode_step: 18,  Reward_p1: 0.984, Reward_p2: 0.984, Reward_e: -1.016
Episode: 530000,  Step: 8791268, Episode_step: 18,  Reward_p1: -0.013000000000000005, Reward_p2: -1.016, Reward_e: -0.017000000000000008
Episode: 540000,  Step: 8936853, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 550000,  Step: 9088713, Episode_step: 18,  Reward_p1: 0.984, Reward_p2: 0.984, Reward_e: -1.016
Episode: 560000,  Step: 9240873, Episode_step: 24,  Reward_p1: 0.978, Reward_p2: 0.978, Reward_e: -1.021
Episode: 570000,  Step: 9391263, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 580000,  Step: 9544563, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 9693288, Episode_step: 29,  Reward_p1: 0.973, Reward_p2: 0.974, Reward_e: -1.026
Episode: 600000,  Step: 9848877, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: 0.991, Reward_e: -1.009
Episode: 610000,  Step: 10003538, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: -0.014000000000000005, Reward_e: -1.013
Episode: 620000,  Step: 10153941, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: 0.993, Reward_e: -1.007
Episode: 630000,  Step: 10311568, Episode_step: 34,  Reward_p1: 0.968, Reward_p2: 0.968, Reward_e: -1.031
Episode: 640000,  Step: 10460544, Episode_step: 22,  Reward_p1: 0.982, Reward_p2: 0.98, Reward_e: -1.02
Episode: 650000,  Step: 10616680, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: 0.997, Reward_e: -1.003
Episode: 660000,  Step: 10774381, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: 0.993, Reward_e: -1.007
Episode: 670000,  Step: 10922767, Episode_step: 3,  Reward_p1: 0.999, Reward_p2: 0.999, Reward_e: -1.001
Episode: 680000,  Step: 11074511, Episode_step: 14,  Reward_p1: -0.013000000000000005, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 690000,  Step: 11228920, Episode_step: 21,  Reward_p1: -0.02000000000000001, Reward_p2: -1.019, Reward_e: -0.02000000000000001
Episode: 700000,  Step: 11379630, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 710000,  Step: 11528770, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: 0.986, Reward_e: -1.014
Episode: 720000,  Step: 11680731, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.989, Reward_e: -1.011
Episode: 730000,  Step: 11833033, Episode_step: 18,  Reward_p1: -0.017000000000000008, Reward_p2: -0.017000000000000008, Reward_e: -1.016
Episode: 740000,  Step: 11982529, Episode_step: 25,  Reward_p1: 0.977, Reward_p2: 0.978, Reward_e: -1.021
Episode: 750000,  Step: 12131128, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.989, Reward_e: -1.011
Episode: 760000,  Step: 12279034, Episode_step: 10,  Reward_p1: -0.006, Reward_p2: -0.009000000000000001, Reward_e: -1.008
Episode: 770000,  Step: 12427461, Episode_step: 23,  Reward_p1: 0.979, Reward_p2: 0.979, Reward_e: -1.021
Episode: 780000,  Step: 12574943, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 12721473, Episode_step: 24,  Reward_p1: 0.978, Reward_p2: 0.979, Reward_e: -1.022
Episode: 800000,  Step: 12869993, Episode_step: 17,  Reward_p1: 0.99, Reward_p2: 0.985, Reward_e: -1.015
Episode: 810000,  Step: 13017772, Episode_step: 23,  Reward_p1: -0.022000000000000013, Reward_p2: -0.02100000000000001, Reward_e: -1.018
Episode: 820000,  Step: 13169711, Episode_step: 15,  Reward_p1: 0.987, Reward_p2: 0.987, Reward_e: -1.012
Episode: 830000,  Step: 13317030, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: 0.987, Reward_e: -1.013
Episode: 840000,  Step: 13465389, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: 0.991, Reward_e: -1.009
Episode: 850000,  Step: 13610276, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.989, Reward_e: -1.01
Episode: 860000,  Step: 13756515, Episode_step: 81,  Reward_p1: 0.9249999999999999, Reward_p2: 0.9229999999999999, Reward_e: -1.079
Episode: 870000,  Step: 13906075, Episode_step: 19,  Reward_p1: 0.983, Reward_p2: 0.983, Reward_e: -1.017
Episode: 880000,  Step: 14053668, Episode_step: 13,  Reward_p1: -0.007, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 890000,  Step: 14200274, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: 0.991, Reward_e: -1.009
Episode: 900000,  Step: 14345013, Episode_step: 16,  Reward_p1: 0.986, Reward_p2: 0.987, Reward_e: -1.014
Episode: 910000,  Step: 14493573, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: 0.989, Reward_e: -1.011
Episode: 920000,  Step: 14638514, Episode_step: 16,  Reward_p1: -1.014, Reward_p2: -0.015000000000000006, Reward_e: -0.014000000000000005
Episode: 930000,  Step: 14780187, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: 0.996, Reward_e: -1.004
Episode: 940000,  Step: 14924813, Episode_step: 6,  Reward_p1: 0.996, Reward_p2: 0.996, Reward_e: -1.004
Episode: 950000,  Step: 15075404, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: 0.997, Reward_e: -1.003
Episode: 960000,  Step: 15221469, Episode_step: 20,  Reward_p1: 0.983, Reward_p2: 0.982, Reward_e: -1.018
Episode: 970000,  Step: 15368188, Episode_step: 32,  Reward_p1: 0.975, Reward_p2: 0.971, Reward_e: -1.03
Episode: 980000,  Step: 15511690, Episode_step: 7,  Reward_p1: 0.995, Reward_p2: 0.995, Reward_e: -1.005
Episode: 990000,  Step: 15659569, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 1000000,  Step: 15803157, Episode_step: 18,  Reward_p1: 0.984, Reward_p2: 0.984, Reward_e: -1.016
Finish! 45.84 [h]
