cpu
Start!
Episode: 460000,  Step: 50231289, Episode_step: 90,  Reward_p1: 0.9139999999999999, Reward_p2: 0.9149999999999999, Reward_e: -1.083
Episode: 470000,  Step: 51047748, Episode_step: 164,  Reward_p1: 0.8499999999999999, Reward_p2: 0.8499999999999999, Reward_e: -1.1500000000000001
Episode: 480000,  Step: 51844929, Episode_step: 11,  Reward_p1: 0.991, Reward_p2: 0.991, Reward_e: -1.004
Episode: 490000,  Step: 52620211, Episode_step: 216,  Reward_p1: 0.7959999999999998, Reward_p2: 0.7949999999999998, Reward_e: -1.1680000000000001
Episode: 500000,  Step: 53400163, Episode_step: 24,  Reward_p1: 0.979, Reward_p2: 0.978, Reward_e: -1.02
Episode: 510000,  Step: 54141936, Episode_step: 21,  Reward_p1: 0.981, Reward_p2: 0.981, Reward_e: -1.018
Episode: 520000,  Step: 54962551, Episode_step: 109,  Reward_p1: 0.8929999999999999, Reward_p2: 0.8949999999999999, Reward_e: -1.087
Episode: 530000,  Step: 55728022, Episode_step: 39,  Reward_p1: 0.963, Reward_p2: 0.963, Reward_e: -1.032
Episode: 540000,  Step: 56480402, Episode_step: 45,  Reward_p1: 0.959, Reward_p2: 0.957, Reward_e: -1.036
Episode: 550000,  Step: 57219222, Episode_step: 199,  Reward_p1: 0.8069999999999998, Reward_p2: 0.8519999999999999, Reward_e: -1.161
Episode: 560000,  Step: 58032920, Episode_step: 52,  Reward_p1: 0.969, Reward_p2: 0.95, Reward_e: -1.041
Episode: 570000,  Step: 58786698, Episode_step: 9,  Reward_p1: 0.993, Reward_p2: 0.998, Reward_e: -1.007
Episode: 580000,  Step: 59555528, Episode_step: 90,  Reward_p1: 0.9129999999999999, Reward_p2: 0.951, Reward_e: -1.067
Episode: 590000,  Step: 60325387, Episode_step: 109,  Reward_p1: 0.8939999999999999, Reward_p2: 0.8929999999999999, Reward_e: -1.094
Episode: 600000,  Step: 61038484, Episode_step: 27,  Reward_p1: 0.975, Reward_p2: 0.984, Reward_e: -1.024
Episode: 610000,  Step: 61795655, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 620000,  Step: 62557616, Episode_step: 44,  Reward_p1: 0.959, Reward_p2: 0.961, Reward_e: -1.041
Episode: 630000,  Step: 63330953, Episode_step: 303,  Reward_p1: -0.2990000000000002, Reward_p2: -0.2810000000000002, Reward_e: -0.2750000000000002
Episode: 640000,  Step: 64102470, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: 0.982, Reward_e: -1.011
Episode: 650000,  Step: 64834289, Episode_step: 63,  Reward_p1: 0.939, Reward_p2: 0.94, Reward_e: -1.054
Episode: 660000,  Step: 65604163, Episode_step: 222,  Reward_p1: 0.8509999999999999, Reward_p2: 0.7949999999999998, Reward_e: -1.195
Episode: 670000,  Step: 66365976, Episode_step: 8,  Reward_p1: 0.994, Reward_p2: 0.994, Reward_e: -1.006
Episode: 680000,  Step: 67156549, Episode_step: 69,  Reward_p1: 0.9369999999999999, Reward_p2: 0.9329999999999999, Reward_e: -1.057
Episode: 690000,  Step: 67915567, Episode_step: 164,  Reward_p1: 0.8429999999999999, Reward_p2: 0.8549999999999999, Reward_e: -1.1360000000000001
Episode: 700000,  Step: 68697219, Episode_step: 85,  Reward_p1: 0.9179999999999999, Reward_p2: 0.9179999999999999, Reward_e: -1.082
Episode: 710000,  Step: 69424138, Episode_step: 36,  Reward_p1: 0.966, Reward_p2: 0.966, Reward_e: -1.034
Episode: 720000,  Step: 70111274, Episode_step: 30,  Reward_p1: 0.973, Reward_p2: 0.979, Reward_e: -1.026
Episode: 730000,  Step: 70833463, Episode_step: 57,  Reward_p1: 0.946, Reward_p2: 0.945, Reward_e: -1.05
Episode: 740000,  Step: 71551908, Episode_step: 182,  Reward_p1: 0.8209999999999998, Reward_p2: 0.8209999999999998, Reward_e: -1.1500000000000001
Episode: 750000,  Step: 72253686, Episode_step: 115,  Reward_p1: 0.8899999999999999, Reward_p2: 0.9039999999999999, Reward_e: -1.1
Episode: 760000,  Step: 73008905, Episode_step: 86,  Reward_p1: -0.08500000000000006, Reward_p2: -0.08500000000000006, Reward_e: -1.077
Episode: 770000,  Step: 73723701, Episode_step: 243,  Reward_p1: -0.2420000000000002, Reward_p2: -0.24000000000000019, Reward_e: -1.205
Episode: 780000,  Step: 74424236, Episode_step: 23,  Reward_p1: 0.979, Reward_p2: 0.979, Reward_e: -1.021
Episode: 790000,  Step: 75123678, Episode_step: 128,  Reward_p1: 0.8739999999999999, Reward_p2: 0.8749999999999999, Reward_e: -1.125
Episode: 800000,  Step: 75873372, Episode_step: 89,  Reward_p1: 0.9139999999999999, Reward_p2: 0.9269999999999999, Reward_e: -1.079
Episode: 810000,  Step: 76583636, Episode_step: 53,  Reward_p1: 0.949, Reward_p2: 0.949, Reward_e: -1.042
Episode: 820000,  Step: 77250829, Episode_step: 64,  Reward_p1: 0.939, Reward_p2: 0.971, Reward_e: -1.049
Episode: 830000,  Step: 77974125, Episode_step: 39,  Reward_p1: 0.963, Reward_p2: 0.963, Reward_e: -1.035
Episode: 840000,  Step: 78671797, Episode_step: 46,  Reward_p1: 0.957, Reward_p2: 0.964, Reward_e: -1.043
Episode: 850000,  Step: 79364321, Episode_step: 9,  Reward_p1: 0.994, Reward_p2: 0.993, Reward_e: -1.006
Episode: 860000,  Step: 80096741, Episode_step: 78,  Reward_p1: 0.9249999999999999, Reward_p2: 0.94, Reward_e: -1.074
Episode: 870000,  Step: 80807810, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 880000,  Step: 81525816, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: 0.988, Reward_e: -1.008
Episode: 890000,  Step: 82298048, Episode_step: 32,  Reward_p1: 0.97, Reward_p2: 0.97, Reward_e: -1.013
Episode: 900000,  Step: 83078338, Episode_step: 124,  Reward_p1: 0.8779999999999999, Reward_p2: 0.9299999999999999, Reward_e: -1.118
Episode: 910000,  Step: 83816653, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: 0.982, Reward_e: -1.018
Episode: 920000,  Step: 84575750, Episode_step: 26,  Reward_p1: 0.976, Reward_p2: 0.976, Reward_e: -1.022
Episode: 930000,  Step: 85291356, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 940000,  Step: 86109201, Episode_step: 144,  Reward_p1: 0.8669999999999999, Reward_p2: 0.8589999999999999, Reward_e: -1.124
Episode: 950000,  Step: 86906950, Episode_step: 37,  Reward_p1: 0.992, Reward_p2: 0.965, Reward_e: -1.031
Episode: 960000,  Step: 87698164, Episode_step: 178,  Reward_p1: 0.8249999999999998, Reward_p2: 0.8259999999999998, Reward_e: -1.1480000000000001
Episode: 970000,  Step: 88455328, Episode_step: 193,  Reward_p1: 0.8109999999999998, Reward_p2: 0.8109999999999998, Reward_e: -1.1880000000000002
Episode: 980000,  Step: 89216333, Episode_step: 21,  Reward_p1: 0.983, Reward_p2: 0.981, Reward_e: -1.019
Episode: 990000,  Step: 90012056, Episode_step: 40,  Reward_p1: -0.03900000000000003, Reward_p2: -0.03900000000000003, Reward_e: -1.03
Episode: 1000000,  Step: 90812939, Episode_step: 127,  Reward_p1: 0.8779999999999999, Reward_p2: 0.8799999999999999, Reward_e: -1.096
Finish! 268.98 [h]
