cpu
Start!
Episode: 10000,  Step: 223904, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 410443, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 587604, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 40000,  Step: 779235, Episode_step: 18,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 963690, Episode_step: 27,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 60000,  Step: 1135250, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 70000,  Step: 1325691, Episode_step: 30,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 80000,  Step: 1509044, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 1702054, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 100000,  Step: 1881017, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 2064248, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 2271912, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 130000,  Step: 2509056, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 2799093, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 150000,  Step: 3210429, Episode_step: 43,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 160000,  Step: 3640346, Episode_step: 30,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 170000,  Step: 4175706, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 180000,  Step: 4663389, Episode_step: 3,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 190000,  Step: 5212047, Episode_step: 29,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 200000,  Step: 5627428, Episode_step: 108,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 6150791, Episode_step: 3,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 6719660, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 230000,  Step: 7293413, Episode_step: 24,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 240000,  Step: 7933758, Episode_step: 181,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 250000,  Step: 8624667, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 9433689, Episode_step: 85,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
