cpu
Start!
Episode: 480000,  Step: 9870911, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: -0.01900000000000001, Reward_e: -1.016
Episode: 490000,  Step: 10081287, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: 0.986, Reward_e: -1.014
Episode: 500000,  Step: 10291786, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: 0.989, Reward_e: -1.011
Episode: 510000,  Step: 10505352, Episode_step: 72,  Reward_p1: 0.9299999999999999, Reward_p2: -0.07000000000000005, Reward_e: -1.07
Episode: 520000,  Step: 10715513, Episode_step: 27,  Reward_p1: -0.024000000000000014, Reward_p2: -0.026000000000000016, Reward_e: -1.025
Episode: 530000,  Step: 10925485, Episode_step: 14,  Reward_p1: 0.988, Reward_p2: -0.013000000000000005, Reward_e: -1.011
Episode: 540000,  Step: 11134284, Episode_step: 2,  Reward_p1: 1, Reward_p2: -0.001, Reward_e: -1
Episode: 550000,  Step: 11345693, Episode_step: 2,  Reward_p1: -0.001, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 11552015, Episode_step: 13,  Reward_p1: -0.012000000000000004, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 570000,  Step: 11760486, Episode_step: 3,  Reward_p1: -0.002, Reward_p2: 0.999, Reward_e: -1.001
Episode: 580000,  Step: 11964594, Episode_step: 39,  Reward_p1: -0.03800000000000003, Reward_p2: 0.963, Reward_e: -1.037
Episode: 590000,  Step: 12173380, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.011000000000000003, Reward_e: -1.01
Episode: 600000,  Step: 12383121, Episode_step: 52,  Reward_p1: -0.05100000000000004, Reward_p2: 0.95, Reward_e: -1.05
Episode: 610000,  Step: 12590202, Episode_step: 22,  Reward_p1: 0.98, Reward_p2: -0.02100000000000001, Reward_e: -1.019
Episode: 620000,  Step: 12803150, Episode_step: 12,  Reward_p1: -0.011000000000000003, Reward_p2: 0.99, Reward_e: -1.01
Episode: 630000,  Step: 13012086, Episode_step: 23,  Reward_p1: -0.022000000000000013, Reward_p2: -0.022000000000000013, Reward_e: -1.019
Episode: 640000,  Step: 13221709, Episode_step: 42,  Reward_p1: 0.96, Reward_p2: -0.04000000000000003, Reward_e: -1.038
Episode: 650000,  Step: 13428259, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: -0.01900000000000001, Reward_e: -1.015
Episode: 660000,  Step: 13635269, Episode_step: 18,  Reward_p1: -0.017000000000000008, Reward_p2: -0.017000000000000008, Reward_e: -1.016
Episode: 670000,  Step: 13846345, Episode_step: 17,  Reward_p1: 0.985, Reward_p2: -0.016000000000000007, Reward_e: -1.015
Episode: 680000,  Step: 14054246, Episode_step: 15,  Reward_p1: -0.014000000000000005, Reward_p2: 0.987, Reward_e: -1.013
Episode: 690000,  Step: 14259931, Episode_step: 53,  Reward_p1: 0.949, Reward_p2: -0.05200000000000004, Reward_e: -1.051
Episode: 700000,  Step: 14465760, Episode_step: 25,  Reward_p1: -0.023000000000000013, Reward_p2: 0.977, Reward_e: -1.023
Episode: 710000,  Step: 14678407, Episode_step: 23,  Reward_p1: -0.022000000000000013, Reward_p2: -0.022000000000000013, Reward_e: -1.017
Episode: 720000,  Step: 14889288, Episode_step: 19,  Reward_p1: -0.017000000000000008, Reward_p2: 0.983, Reward_e: -1.017
Episode: 730000,  Step: 15097149, Episode_step: 26,  Reward_p1: 0.976, Reward_p2: -0.025000000000000015, Reward_e: -1.024
Episode: 740000,  Step: 15303119, Episode_step: 35,  Reward_p1: -0.03400000000000002, Reward_p2: 0.967, Reward_e: -1.033
Episode: 750000,  Step: 15514869, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.009
Episode: 760000,  Step: 15719623, Episode_step: 18,  Reward_p1: -0.017000000000000008, Reward_p2: 0.984, Reward_e: -1.016
Episode: 770000,  Step: 15928867, Episode_step: 24,  Reward_p1: -0.023000000000000013, Reward_p2: 0.978, Reward_e: -1.022
Episode: 780000,  Step: 16138116, Episode_step: 44,  Reward_p1: -0.04300000000000003, Reward_p2: 0.958, Reward_e: -1.038
Episode: 790000,  Step: 16348678, Episode_step: 51,  Reward_p1: -0.04900000000000004, Reward_p2: 0.953, Reward_e: -1.049
Episode: 800000,  Step: 16563358, Episode_step: 25,  Reward_p1: -0.024000000000000014, Reward_p2: 0.977, Reward_e: -1.022
Episode: 810000,  Step: 16770876, Episode_step: 19,  Reward_p1: -0.01800000000000001, Reward_p2: 0.983, Reward_e: -1.017
Episode: 820000,  Step: 16982274, Episode_step: 21,  Reward_p1: -1.019, Reward_p2: -0.01900000000000001, Reward_e: -0.02000000000000001
Episode: 830000,  Step: 17196860, Episode_step: 79,  Reward_p1: -0.07500000000000005, Reward_p2: 0.9229999999999999, Reward_e: -1.075
Episode: 840000,  Step: 17409760, Episode_step: 20,  Reward_p1: 0.982, Reward_p2: -0.01900000000000001, Reward_e: -1.018
Episode: 850000,  Step: 17619918, Episode_step: 17,  Reward_p1: -0.016000000000000007, Reward_p2: 0.985, Reward_e: -1.014
Episode: 860000,  Step: 17831863, Episode_step: 47,  Reward_p1: 0.956, Reward_p2: -0.046000000000000034, Reward_e: -1.045
Episode: 870000,  Step: 18043135, Episode_step: 24,  Reward_p1: 0.978, Reward_p2: -0.023000000000000013, Reward_e: -1.019
Episode: 880000,  Step: 18256481, Episode_step: 39,  Reward_p1: -0.03800000000000003, Reward_p2: 0.963, Reward_e: -1.036
Episode: 890000,  Step: 18471696, Episode_step: 11,  Reward_p1: -0.010000000000000002, Reward_p2: 0.991, Reward_e: -1.009
Episode: 900000,  Step: 18687938, Episode_step: 5,  Reward_p1: 0.997, Reward_p2: -0.004, Reward_e: -1.003
Episode: 910000,  Step: 18900491, Episode_step: 20,  Reward_p1: -0.01900000000000001, Reward_p2: 0.982, Reward_e: -1.018
Episode: 920000,  Step: 19112909, Episode_step: 23,  Reward_p1: 0.98, Reward_p2: -0.02100000000000001, Reward_e: -1.021
Episode: 930000,  Step: 19327286, Episode_step: 17,  Reward_p1: -0.015000000000000006, Reward_p2: 0.985, Reward_e: -1.015
Episode: 940000,  Step: 19542641, Episode_step: 18,  Reward_p1: -0.017000000000000008, Reward_p2: 0.984, Reward_e: -1.016
Episode: 950000,  Step: 19756375, Episode_step: 24,  Reward_p1: 0.978, Reward_p2: -0.023000000000000013, Reward_e: -1.022
Episode: 960000,  Step: 19978184, Episode_step: 13,  Reward_p1: 0.989, Reward_p2: -0.012000000000000004, Reward_e: -1.011
Episode: 970000,  Step: 20191855, Episode_step: 16,  Reward_p1: -0.015000000000000006, Reward_p2: 0.986, Reward_e: -1.012
Episode: 980000,  Step: 20405686, Episode_step: 83,  Reward_p1: 0.9189999999999999, Reward_p2: 0.9199999999999999, Reward_e: -1.081
Episode: 990000,  Step: 20619420, Episode_step: 47,  Reward_p1: -0.046000000000000034, Reward_p2: -0.04500000000000003, Reward_e: -1.045
Episode: 1000000,  Step: 20840572, Episode_step: 19,  Reward_p1: -0.01800000000000001, Reward_p2: 0.983, Reward_e: -1.017
Finish! 59.28 [h]
