cpu
Start!
Episode: 10000,  Step: 166020, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 272889, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 30000,  Step: 379635, Episode_step: 16,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 40000,  Step: 469209, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 572980, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 60000,  Step: 677380, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 776007, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 80000,  Step: 872744, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 974512, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 100000,  Step: 1070975, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 110000,  Step: 1167884, Episode_step: 31,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 120000,  Step: 1266908, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 130000,  Step: 1367000, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 1464749, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 150000,  Step: 1564520, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 160000,  Step: 1663112, Episode_step: 10,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 170000,  Step: 1764111, Episode_step: 21,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 180000,  Step: 1863570, Episode_step: 21,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 190000,  Step: 1962400, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 200000,  Step: 2062234, Episode_step: 10,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 210000,  Step: 2160041, Episode_step: 24,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 2260189, Episode_step: 28,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 230000,  Step: 2356334, Episode_step: 7,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 240000,  Step: 2452961, Episode_step: 14,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 250000,  Step: 2546347, Episode_step: 17,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 260000,  Step: 2637546, Episode_step: 6,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 270000,  Step: 2730369, Episode_step: 3,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 280000,  Step: 2821102, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 290000,  Step: 2912140, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 3001407, Episode_step: 16,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 310000,  Step: 3091465, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 320000,  Step: 3181028, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 330000,  Step: 3269601, Episode_step: 28,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 340000,  Step: 3359866, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 350000,  Step: 3448085, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 360000,  Step: 3534816, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 370000,  Step: 3619736, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 380000,  Step: 3704598, Episode_step: 16,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 390000,  Step: 3790937, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 400000,  Step: 3878953, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 410000,  Step: 3966883, Episode_step: 3,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 420000,  Step: 4054546, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 430000,  Step: 4141313, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 440000,  Step: 4228020, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 450000,  Step: 4313315, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 460000,  Step: 4398818, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 470000,  Step: 4485275, Episode_step: 15,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 480000,  Step: 4571107, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 4655991, Episode_step: 4,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 500000,  Step: 4739954, Episode_step: 6,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 510000,  Step: 4823669, Episode_step: 23,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 520000,  Step: 4906899, Episode_step: 10,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 530000,  Step: 4989838, Episode_step: 5,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 540000,  Step: 5074053, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 550000,  Step: 5157604, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 5240803, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 570000,  Step: 5324319, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 580000,  Step: 5408702, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 5494804, Episode_step: 14,  Reward_p1: -1, Reward_p2: -1, Reward_e: 0
Episode: 600000,  Step: 5579175, Episode_step: 7,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 610000,  Step: 5661193, Episode_step: 17,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 620000,  Step: 5745286, Episode_step: 12,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 630000,  Step: 5827291, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 640000,  Step: 5911549, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 650000,  Step: 5996443, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 660000,  Step: 6078219, Episode_step: 9,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 670000,  Step: 6163785, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 680000,  Step: 6247222, Episode_step: 11,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 690000,  Step: 6330320, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 700000,  Step: 6415825, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 710000,  Step: 6500131, Episode_step: 6,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 720000,  Step: 6585221, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 730000,  Step: 6668385, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 740000,  Step: 6753568, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 750000,  Step: 6838848, Episode_step: 7,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 760000,  Step: 6922189, Episode_step: 5,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 770000,  Step: 7005865, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 780000,  Step: 7088407, Episode_step: 4,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 7172867, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 800000,  Step: 7258275, Episode_step: 17,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 810000,  Step: 7340963, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 820000,  Step: 7424128, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 830000,  Step: 7507340, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 840000,  Step: 7592002, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 850000,  Step: 7676041, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 860000,  Step: 7760281, Episode_step: 13,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 870000,  Step: 7843089, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
