cpu
Start!
Episode: 10000,  Step: 150445, Episode_step: 26,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 270433, Episode_step: 22,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 420856, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 40000,  Step: 549344, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 674847, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 60000,  Step: 786884, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 905238, Episode_step: 13,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 80000,  Step: 1025302, Episode_step: 16,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 90000,  Step: 1144947, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 100000,  Step: 1268146, Episode_step: 3,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 110000,  Step: 1387337, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 120000,  Step: 1506310, Episode_step: 29,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 130000,  Step: 1626162, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 140000,  Step: 1745688, Episode_step: 7,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 150000,  Step: 1865398, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 160000,  Step: 1982023, Episode_step: 15,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 170000,  Step: 2099153, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 180000,  Step: 2214860, Episode_step: 8,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 190000,  Step: 2332108, Episode_step: 13,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 200000,  Step: 2450315, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 2568755, Episode_step: 16,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 220000,  Step: 2686467, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 230000,  Step: 2801568, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 240000,  Step: 2920447, Episode_step: 14,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 250000,  Step: 3036103, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 3151425, Episode_step: 26,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 270000,  Step: 3266706, Episode_step: 16,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 280000,  Step: 3383342, Episode_step: 14,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 290000,  Step: 3500720, Episode_step: 20,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 3615388, Episode_step: 6,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 310000,  Step: 3729796, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 320000,  Step: 3846263, Episode_step: 16,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 330000,  Step: 3961722, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 340000,  Step: 4073615, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 350000,  Step: 4184426, Episode_step: 20,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 360000,  Step: 4293340, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 370000,  Step: 4403470, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 380000,  Step: 4514676, Episode_step: 15,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 390000,  Step: 4625201, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 400000,  Step: 4735440, Episode_step: 15,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 410000,  Step: 4844811, Episode_step: 8,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 420000,  Step: 4953596, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 430000,  Step: 5061823, Episode_step: 7,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 440000,  Step: 5170409, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 450000,  Step: 5278856, Episode_step: 10,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 5388070, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 470000,  Step: 5497748, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 480000,  Step: 5607619, Episode_step: 10,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 490000,  Step: 5717194, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 500000,  Step: 5828380, Episode_step: 13,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 510000,  Step: 5938995, Episode_step: 18,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 520000,  Step: 6050023, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 530000,  Step: 6159250, Episode_step: 25,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 540000,  Step: 6270002, Episode_step: 12,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 550000,  Step: 6381051, Episode_step: 18,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 560000,  Step: 6493197, Episode_step: 17,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 570000,  Step: 6606398, Episode_step: 18,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 580000,  Step: 6722224, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 590000,  Step: 6832946, Episode_step: 4,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 600000,  Step: 6943889, Episode_step: 2,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 610000,  Step: 7054828, Episode_step: 23,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 620000,  Step: 7167131, Episode_step: 14,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 630000,  Step: 7277875, Episode_step: 2,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 640000,  Step: 7388123, Episode_step: 22,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 650000,  Step: 7501054, Episode_step: 9,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 660000,  Step: 7615199, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 670000,  Step: 7732716, Episode_step: 12,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 680000,  Step: 7856194, Episode_step: 11,  Reward_p1: 1, Reward_p2: 0, Reward_e: -1
Episode: 690000,  Step: 7975630, Episode_step: 20,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 700000,  Step: 8092251, Episode_step: 5,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 8208102, Episode_step: 13,  Reward_p1: 0, Reward_p2: 1, Reward_e: -1
