cpu
Start!
Episode: 10000,  Step: 195687, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 20000,  Step: 333999, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 473416, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 40000,  Step: 613977, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 50000,  Step: 747065, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 60000,  Step: 876026, Episode_step: 15,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 1009247, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 80000,  Step: 1143209, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 1283395, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 1420797, Episode_step: 27,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 1572101, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 1719760, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 130000,  Step: 1871174, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 2018445, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 150000,  Step: 2177239, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 160000,  Step: 2321448, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 170000,  Step: 2463773, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 180000,  Step: 2609614, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 190000,  Step: 2752445, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 200000,  Step: 2901821, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 3048730, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 3195785, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 230000,  Step: 3347916, Episode_step: 24,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 240000,  Step: 3507830, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 250000,  Step: 3671794, Episode_step: 22,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 260000,  Step: 3845118, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 270000,  Step: 4024038, Episode_step: 37,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 280000,  Step: 4218930, Episode_step: 20,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 290000,  Step: 4398012, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 4590016, Episode_step: 30,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 310000,  Step: 4786808, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 320000,  Step: 4986332, Episode_step: 58,  Reward_p1: -1, Reward_p2: 0, Reward_e: 0
Episode: 330000,  Step: 5173620, Episode_step: 25,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 340000,  Step: 5370147, Episode_step: 50,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 350000,  Step: 5592753, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 360000,  Step: 5814851, Episode_step: 27,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 370000,  Step: 6038320, Episode_step: 26,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 380000,  Step: 6245702, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 390000,  Step: 6460387, Episode_step: 31,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 400000,  Step: 6700642, Episode_step: 47,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 410000,  Step: 6938431, Episode_step: 40,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 420000,  Step: 7173429, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 430000,  Step: 7410140, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 440000,  Step: 7662083, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 450000,  Step: 7950492, Episode_step: 35,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 460000,  Step: 8190774, Episode_step: 49,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 470000,  Step: 8458479, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 480000,  Step: 8751150, Episode_step: 45,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 9056651, Episode_step: 21,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 500000,  Step: 9356553, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 510000,  Step: 9655129, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 520000,  Step: 9969293, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 530000,  Step: 10278369, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 540000,  Step: 10617787, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 550000,  Step: 10909629, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 11188685, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 570000,  Step: 11496248, Episode_step: 34,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 580000,  Step: 11827111, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 12141945, Episode_step: 31,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 600000,  Step: 12482846, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 610000,  Step: 12794917, Episode_step: 25,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 620000,  Step: 13155247, Episode_step: 30,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 630000,  Step: 13520633, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 640000,  Step: 13847830, Episode_step: 38,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 650000,  Step: 14202202, Episode_step: 24,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 660000,  Step: 14531747, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 670000,  Step: 14872071, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 680000,  Step: 15236569, Episode_step: 37,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 690000,  Step: 15628248, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 700000,  Step: 15967190, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 16327084, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 720000,  Step: 16699448, Episode_step: 62,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 730000,  Step: 17054918, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 740000,  Step: 17425295, Episode_step: 27,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 750000,  Step: 17789279, Episode_step: 23,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 760000,  Step: 18103432, Episode_step: 64,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 770000,  Step: 18485565, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 780000,  Step: 18860041, Episode_step: 86,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 19231530, Episode_step: 78,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 800000,  Step: 19594268, Episode_step: 50,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 810000,  Step: 19993502, Episode_step: 41,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 820000,  Step: 20381121, Episode_step: 88,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 830000,  Step: 20791987, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 840000,  Step: 21210163, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 850000,  Step: 21630376, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 860000,  Step: 22031429, Episode_step: 37,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 870000,  Step: 22444170, Episode_step: 100,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 880000,  Step: 22912899, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 890000,  Step: 23379458, Episode_step: 105,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 900000,  Step: 23806524, Episode_step: 27,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 910000,  Step: 24259298, Episode_step: 28,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
