cpu
Start!
Episode: 10000,  Step: 177967, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 296458, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 443808, Episode_step: 26,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 40000,  Step: 567607, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 50000,  Step: 687071, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 60000,  Step: 785435, Episode_step: 8,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 70000,  Step: 888784, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 80000,  Step: 994462, Episode_step: 42,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 1089968, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 1188758, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 1282386, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 1379324, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 130000,  Step: 1474909, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 140000,  Step: 1572204, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 150000,  Step: 1671202, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 160000,  Step: 1774883, Episode_step: 20,  Reward_p1: 0, Reward_p2: -1, Reward_e: 0
Episode: 170000,  Step: 1878852, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 180000,  Step: 1979576, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 190000,  Step: 2078874, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 200000,  Step: 2176463, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 210000,  Step: 2280367, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 220000,  Step: 2387306, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 230000,  Step: 2496918, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 240000,  Step: 2607734, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 250000,  Step: 2717086, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 260000,  Step: 2826661, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 270000,  Step: 2936098, Episode_step: 12,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 280000,  Step: 3040998, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 290000,  Step: 3155382, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 300000,  Step: 3266300, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 310000,  Step: 3374405, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 320000,  Step: 3477568, Episode_step: 50,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 330000,  Step: 3581639, Episode_step: 16,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 340000,  Step: 3687917, Episode_step: 17,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 350000,  Step: 3798670, Episode_step: 13,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 360000,  Step: 3911510, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 370000,  Step: 4018293, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 380000,  Step: 4121280, Episode_step: 15,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 390000,  Step: 4227654, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 400000,  Step: 4334004, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 410000,  Step: 4441009, Episode_step: 8,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 420000,  Step: 4546186, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 430000,  Step: 4652989, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 440000,  Step: 4761838, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 450000,  Step: 4863033, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 460000,  Step: 4971625, Episode_step: 22,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 470000,  Step: 5074554, Episode_step: 14,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 480000,  Step: 5172646, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 490000,  Step: 5275870, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 500000,  Step: 5375998, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 510000,  Step: 5478370, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 520000,  Step: 5582414, Episode_step: 25,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 530000,  Step: 5686102, Episode_step: 12,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 540000,  Step: 5783436, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 550000,  Step: 5879723, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 560000,  Step: 5980653, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 570000,  Step: 6078833, Episode_step: 31,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 580000,  Step: 6177385, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 590000,  Step: 6277105, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 600000,  Step: 6387342, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 610000,  Step: 6490236, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 620000,  Step: 6589321, Episode_step: 10,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 630000,  Step: 6690897, Episode_step: 5,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 640000,  Step: 6790335, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 650000,  Step: 6889515, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 660000,  Step: 6989620, Episode_step: 9,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 670000,  Step: 7095980, Episode_step: 7,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 680000,  Step: 7200939, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 690000,  Step: 7300461, Episode_step: 4,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 700000,  Step: 7400701, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 710000,  Step: 7507334, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 720000,  Step: 7613223, Episode_step: 6,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 730000,  Step: 7717073, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 740000,  Step: 7823345, Episode_step: 10,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 750000,  Step: 7930556, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 760000,  Step: 8037978, Episode_step: 11,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 770000,  Step: 8140564, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 780000,  Step: 8248277, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 790000,  Step: 8355187, Episode_step: 13,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 800000,  Step: 8460595, Episode_step: 19,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 810000,  Step: 8559862, Episode_step: 11,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 820000,  Step: 8667073, Episode_step: 21,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 830000,  Step: 8776109, Episode_step: 14,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 840000,  Step: 8890826, Episode_step: 18,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 850000,  Step: 9019399, Episode_step: 48,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 860000,  Step: 9127897, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
