cpu
Start!
Episode: 10000,  Step: 325149, Episode_step: 19,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 20000,  Step: 871636, Episode_step: 76,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 30000,  Step: 1983228, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_e: 0
Episode: 40000,  Step: 3087799, Episode_step: 108,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 50000,  Step: 4703130, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 60000,  Step: 6496933, Episode_step: 141,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 70000,  Step: 8265088, Episode_step: 171,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 80000,  Step: 10038410, Episode_step: 112,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 90000,  Step: 11968319, Episode_step: 294,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 100000,  Step: 13826850, Episode_step: 155,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 110000,  Step: 15763711, Episode_step: 176,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 120000,  Step: 17863954, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_e: 0
Episode: 130000,  Step: 19943914, Episode_step: 288,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 140000,  Step: 21874970, Episode_step: 161,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 150000,  Step: 23744059, Episode_step: 43,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 160000,  Step: 25570342, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
Episode: 170000,  Step: 27240321, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_e: 0
Episode: 180000,  Step: 28786306, Episode_step: 36,  Reward_p1: 0, Reward_p2: 0, Reward_e: -1
Episode: 190000,  Step: 30251537, Episode_step: 303,  Reward_p1: 0, Reward_p2: 0, Reward_e: 0
Episode: 200000,  Step: 31654776, Episode_step: 53,  Reward_p1: 1, Reward_p2: 1, Reward_e: -1
